Gender	Year	AA_rate	Deaths	Population	Crude Rate
F	2000	4.30883201085758	6578	140355754	4.68666215137856
F	2001	4.3172393580345	6696	142026033	4.71462862023331
F	2002	4.28637121358484	6732	143317188	4.69727329564965
F	2003	4.27917800658382	6808	144551061	4.70975443065063
F	2004	4.18885145731386	6752	145810702	4.63066147229714
F	2005	4.11142854904317	6698	147070066	4.55429182985476
F	2006	4.01080062936054	6582	148385108	4.43575510286383
F	2007	3.8475123239074	6387	149720044	4.26596187748916
F	2008	3.75020796668782	6314	151070989	4.17949206647479
F	2009	3.55568021285238	6033	152332121	3.96042539183184
F	2010	3.46519971170251	5953	153260458	3.88423738104711
F	2011	3.43169293389906	6001	154457950	3.8851998229939
F	2012	3.38231413331645	6016	155498676	3.86884323053657
F	2013	3.29258645723444	5977	156478230	3.81970067018268
F	2014	3.15944886553196	5827	157867207	3.69107689350582
F	2015	3.14325942763806	5908	159076660	3.7139326410298
F	2016	3.16308730859277	6025	159893102	3.76814254313485
F	2017	2.98287666368476	5866	161122046	3.64071841540542
F	2018	2.93563746016939	5868	154021575	3.80985585947943
F	2019	2.99519898291524	6123	162353729	3.77139474264863
F	2020	3.08865163921854	6407	162984194	3.93105603847696
F	2021	3.19685971020408	6681	163709190	4.08101707668335
F	2022	3.08805043875216	6645	163801963	4.05672794043378
M	2000	2.68119164864073	3203	136826565	2.34091968909692
M	2001	2.6571428031119	3252	138630428	2.34580535234299
M	2002	2.65343152257418	3313	139939197	2.36745677481628
M	2003	2.69709565549806	3432	141090696	2.43247790059807
M	2004	2.58471350199808	3355	142448713	2.35523363415716
M	2005	2.58913239195787	3421	143753234	2.37977254828229
M	2006	2.46419146454875	3335	145128875	2.29795759114098
M	2007	2.46195440035956	3384	146471618	2.31034520285015
M	2008	2.43689317223115	3406	147827137	2.30404245737371
M	2009	2.30820220421792	3306	149072107	2.21771870441195
M	2010	2.32251935794357	3360	149991647	2.24012474507997
M	2011	2.35374062554378	3487	151396794	2.30321918177475
M	2012	2.35049703791153	3569	144328637	2.47282872906227
M	2013	2.27824065935236	3533	153609820	2.29998316513879
M	2014	2.29130787317892	3676	154827618	2.37425341000854
M	2015	2.3109757895837	3806	156054999	2.43888374251952
M	2016	2.36583985083447	3965	156854080	2.52782713717106
M	2017	2.38019281741989	4108	158128450	2.59788798283927
M	2018	2.33005787950029	4124	158802986	2.5969284985611
M	2019	2.4945931528387	4496	159280836	2.82268734450891
M	2020	2.61767322763543	4818	159841509	3.01423580779633
M	2021	2.79538461981878	5215	162208799	3.2149920547775
M	2022	2.84651716472268	5484	162999726	3.36442283344697
