Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	44	54505227	0.0807262026447482
1-4 years	M	37	56991009	0.0649225213752576
10-14 years	F	41	70993737	0.0577515732127187
10-14 years	M	43	74025035	0.0580884561554074
15-19 years	F	83	72198032	0.114961582332327
15-19 years	M	59	75550932	0.0780930141272116
20-24 years	F	232	76260355	0.304220980875319
20-24 years	M	209	80192752	0.260622057215345
25-29 years	F	415	78274027	0.530188640990708
25-29 years	M	460	81087779	0.567286471121622
30-34 years	F	751	75810445	0.990628666010337
30-34 years	M	796	76984052	1.03398038856152
35-39 years	F	1178	72640928	1.62167531780431
35-39 years	M	1310	72566087	1.8052509845267
40-44 years	F	1862	70787626	2.63040322894852
40-44 years	M	2120	69843523	3.03535662140067
45-49 years	F	3189	73724569	4.32555936678314
45-49 years	M	3930	72291990	5.43628692473399
5-9 years	F	25	69819546	0.0358065920394269
5-9 years	M	40	72883351	0.0548822185741707
50-54 years	F	5268	77339639	6.81151356292211
50-54 years	M	7039	74726578	9.41967394786899
55-59 years	F	8946	78300582	11.4252024333612
55-59 years	M	11162	74019679	15.0797735829143
60-64 years	F	13410	71002917	18.8865479991477
60-64 years	M	16594	65128628	25.4788109462401
65-69 years	F	19213	60339950	31.8412593977953
65-69 years	M	21693	53859859	40.2767485893344
70-74 years	F	24954	45862200	54.4108219841176
70-74 years	M	26424	39393089	67.07775569466
75-79 years	F	30604	33154498	92.3072338480287
75-79 years	M	30644	26598427	115.209820490512
80-84 years	F	37991	24206738	156.943905453102
80-84 years	M	36506	17397051	209.840161990673
< 1 year	F	293	13389903	2.18821600126603
< 1 year	M	366	14018968	2.61074852300112
