Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2000	13	7508434	0.173138633169047
1-4 years	F	2001	15	7468536	0.200842574769674
1-4 years	F	2002	3	7564711	0.0396578269810968
1-4 years	F	2003	11	7636693	0.144041406404579
1-4 years	F	2004	10	7713175	0.129648296583443
1-4 years	F	2005	4	7785123	0.0513800488444434
1-4 years	M	2000	1	7861716	0.012719869300799
1-4 years	M	2001	10	7817023	0.127925938045724
1-4 years	M	2002	10	7913020	0.126374001329455
1-4 years	M	2003	10	7979882	0.125315136238857
1-4 years	M	2004	16	8058452	0.19854929954289
1-4 years	M	2005	14	8127884	0.172246552731314
10-14 years	F	2000	8	10007875	0.0799370495734609
10-14 years	F	2001	1	10231469	0.00977376757922054
10-14 years	F	2002	5	10371422	0.0482093969370835
10-14 years	F	2003	12	10444875	0.114888880910494
10-14 years	F	2004	8	10443706	0.0766011605458829
10-14 years	F	2005	14	10348382	0.135286849673698
10-14 years	M	2000	10	10520197	0.0950552541934338
10-14 years	M	2001	9	10747209	0.0837426721672576
10-14 years	M	2002	4	10889999	0.0367309491947612
10-14 years	M	2003	10	10970478	0.0911537309495539
10-14 years	M	2004	10	10967974	0.0911745414422026
10-14 years	M	2005	10	10864197	0.0920454590431304
15-19 years	F	2000	19	9828886	0.193307766515961
15-19 years	F	2001	8	9908897	0.0807355248520597
15-19 years	F	2002	18	9981879	0.180326770140171
15-19 years	F	2003	20	10086567	0.198283519060549
15-19 years	F	2004	19	10242793	0.18549628016499
15-19 years	F	2005	25	10434789	0.239583186588632
15-19 years	M	2000	23	10391004	0.221345309846864
15-19 years	M	2001	17	10547387	0.161177360800357
15-19 years	M	2002	14	10628491	0.131721426870475
15-19 years	M	2003	23	10710599	0.214740557460885
15-19 years	M	2004	16	10859759	0.147332919634773
15-19 years	M	2005	20	11051425	0.180972137077345
20-24 years	F	2000	43	9276187	0.463552535109523
20-24 years	F	2001	48	9676950	0.496024057166773
20-24 years	F	2002	42	9916245	0.423547421428172
20-24 years	F	2003	46	10093723	0.455728773218762
20-24 years	F	2004	35	10190641	0.34345238930505
20-24 years	F	2005	46	10222806	0.449974302554504
20-24 years	M	2000	30	9687814	0.309667382135949
20-24 years	M	2001	40	10080336	0.396812169753072
20-24 years	M	2002	38	10327520	0.367948936433916
20-24 years	M	2003	46	10497965	0.438180161583697
20-24 years	M	2004	46	10654919	0.431725478157084
20-24 years	M	2005	39	10737149	0.363224911938914
25-29 years	F	2000	52	9582576	0.542651579283065
25-29 years	F	2001	55	9303113	0.59119995640169
25-29 years	F	2002	81	9248586	0.875809556185129
25-29 years	F	2003	69	9307104	0.741369173482965
25-29 years	F	2004	66	9479080	0.696270102161813
25-29 years	F	2005	78	9712544	0.803085164916627
25-29 years	M	2000	53	9798760	0.540884765011083
25-29 years	M	2001	57	9516234	0.598976443832718
25-29 years	M	2002	54	9442754	0.571867063358846
25-29 years	M	2003	61	9464481	0.644515002988542
25-29 years	M	2004	57	9627975	0.592024802723314
25-29 years	M	2005	67	9822166	0.682130601335795
30-34 years	F	2000	102	10188619	1.00111703067904
30-34 years	F	2001	102	10263930	0.99377139165992
30-34 years	F	2002	102	10270193	0.993165366999432
30-34 years	F	2003	112	10193818	1.09870511716022
30-34 years	F	2004	114	10041145	1.13532869010456
30-34 years	F	2005	99	9835154	1.00659328771059
30-34 years	M	2000	101	10321769	0.978514438755605
30-34 years	M	2001	89	10388245	0.856737591383338
30-34 years	M	2002	103	10388113	0.991517901278124
30-34 years	M	2003	119	10278392	1.1577686470802
30-34 years	M	2004	81	10118356	0.800525302727044
30-34 years	M	2005	116	9888783	1.17304626868645
35-39 years	F	2000	168	11387968	1.47524123706705
35-39 years	F	2001	181	11141510	1.62455537893876
35-39 years	F	2002	178	10903446	1.63251140969561
35-39 years	F	2003	165	10660101	1.54782773634133
35-39 years	F	2004	174	10453320	1.66454293946803
35-39 years	F	2005	161	10411620	1.54634917524842
35-39 years	M	2000	174	11318696	1.53727955941214
35-39 years	M	2001	196	11094408	1.7666557782984
35-39 years	M	2002	170	10847772	1.56714208226353
35-39 years	M	2003	173	10604058	1.63145090304108
35-39 years	M	2004	186	10421329	1.78480115156138
35-39 years	M	2005	170	10387033	1.63665601139421
40-44 years	F	2000	249	11312761	2.20105419004255
40-44 years	F	2001	276	11500919	2.39980822402105
40-44 years	F	2002	278	11536009	2.40984555403866
40-44 years	F	2003	297	11546602	2.57218530611863
40-44 years	F	2004	282	11562414	2.43893705933726
40-44 years	F	2005	260	11453723	2.2700042597503
40-44 years	M	2000	325	11129102	2.92027155470405
40-44 years	M	2001	306	11314915	2.70439503964458
40-44 years	M	2002	309	11353422	2.72164638996067
40-44 years	M	2003	356	11343445	3.13837639270962
40-44 years	M	2004	349	11363212	3.07131469517598
40-44 years	M	2005	338	11253162	3.00360023253909
45-49 years	F	2000	350	10202898	3.43039791243625
45-49 years	F	2001	414	10505949	3.94062449760607
45-49 years	F	2002	432	10785791	4.00526952543397
45-49 years	F	2003	461	11017265	4.18434157660726
45-49 years	F	2004	453	11184506	4.05024593844377
45-49 years	F	2005	459	11357088	4.04152895530967
45-49 years	M	2000	505	9889506	5.10642290929395
45-49 years	M	2001	516	10193034	5.06228076939604
45-49 years	M	2002	532	10466497	5.08288494230687
45-49 years	M	2003	542	10705411	5.0628602675787
45-49 years	M	2004	574	10880756	5.27536873356962
45-49 years	M	2005	614	11060083	5.55149540921167
5-9 years	F	2000	7	10026228	0.0698168842759211
5-9 years	F	2001	9	9844298	0.0914234818978458
5-9 years	F	2002	5	9699735	0.051547800017217
5-9 years	F	2003	4	9581247	0.0417482192036172
5-9 years	F	2004	1	9503231	0.0105227369512537
5-9 years	F	2005	5	9473900	0.0527765756446659
5-9 years	M	2000	9	10523277	0.0855246896950446
