Gender	Year	AA_rate	Deaths	Population	Crude Rate
F	2000	11.3454566621564	17789	140355754	12.6742221056359
F	2001	11.7077081383448	18602	142026033	13.0975988042981
F	2002	11.6454698864368	18773	143317188	13.0989173468851
F	2003	11.8263945898352	19241	144551061	13.310867361949
F	2004	11.7338523616614	19299	145810702	13.235653991982
F	2005	11.9154461763761	19789	147070066	13.4554913438334
F	2006	11.837864327855	19865	148385108	13.3874620356107
F	2007	11.9529315186853	20177	149720044	13.4764854864723
F	2008	11.4167951134317	19490	151070989	12.901219571681
F	2009	11.4148719630583	19638	152332121	12.8915686797271
F	2010	11.3729692712872	19765	153260458	12.8963466884589
F	2011	10.396510054353	18375	154457950	11.8964417176325
F	2012	10.2912799810599	18514	155498676	11.9062106998262
F	2013	10.5501196057742	19294	156478230	12.3301496955839
F	2014	10.6261277006205	19868	157867207	12.5852609782347
F	2015	10.9426576727297	20835	159076660	13.0974587975382
F	2016	11.0323332018173	21480	159893102	13.433975406894
F	2017	10.9507518775137	21918	161122046	13.6033525790754
F	2018	10.8826980176089	22369	161819945	13.8233887052675
F	2019	10.8057262330806	22735	162353729	14.0033740771054
F	2020	11.2210879624872	24238	162984194	14.8713807180591
F	2021	11.9314991331872	25642	163709190	15.6631402305515
F	2022	11.8721138477367	26362	163801963	16.0938242235839
M	2000	14.509259466099	16777	136826565	12.2615078438898
M	2001	14.7114617093172	17450	138630428	12.5874241692452
M	2002	14.8759919408796	17979	139939197	12.8477227148874
M	2003	15.1556948710451	18707	141090696	13.2588473445478
M	2004	14.9016296764419	18738	142448713	13.1542079990572
M	2005	15.0772399571795	19312	143753234	13.4341325496719
M	2006	15.0487227203536	19602	145128875	13.5066161024124
M	2007	14.9316346158953	19754	146471618	13.4865718490254
M	2008	14.6729894970184	19867	147827137	13.4393457136358
M	2009	14.4217979405953	19830	149072107	13.3022873286416
M	2010	14.6802257205475	20523	149991647	13.6827619474036
M	2011	13.2049866594127	18954	151396794	12.5194196648576
M	2012	13.2140171434406	19424	152528034	12.7347081651888
M	2013	13.2258704096206	19986	153609820	13.0108869341817
M	2014	13.4221547454862	20829	154827618	13.4530261907149
M	2015	14.0142126634486	22362	156054999	14.329563386816
M	2016	14.0065731373512	22842	156854080	14.5625794368881
M	2017	14.0246706671844	23642	158128450	14.9511362439839
M	2018	14.2429987778246	24710	158802986	15.5601608146084
M	2019	14.0157912343908	25061	159280836	15.7338450935805
M	2020	14.6457170841544	26845	159841509	16.7947613657726
M	2021	15.1969566924236	28196	162208799	17.3825342236829
M	2022	14.9845082002985	28628	162999726	17.5632197074982
