Age_groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2000	13	7508434	0.173138633169047
1-4 years	F	2001	15	7468536	0.200842574769674
1-4 years	F	2002	3	7564711	0.0396578269810968
1-4 years	F	2003	11	7636693	0.144041406404579
1-4 years	F	2004	10	7713175	0.129648296583443
1-4 years	F	2005	4	7785123	0.0513800488444434
1-4 years	F	2006	3	7775092	0.038584752437656
1-4 years	F	2007	16	7813088	0.204784587092837
1-4 years	F	2008	2	7891294	0.0253443858510404
1-4 years	F	2009	14	7943260	0.176250053504481
1-4 years	F	2010	10	7952058	0.125753609946004
1-4 years	F	2011	10	7909731	0.126426549777736
1-4 years	F	2012	7	7856870	0.0890940030826525
1-4 years	F	2013	4	7790614	0.0513438350302043
1-4 years	F	2014	11	7790662	0.141194676395921
1-4 years	F	2015	6	7786776	0.0770537126019806
1-4 years	F	2016	12	7800517	0.153835957283344
1-4 years	F	2017	1	7818747	0.0127897730927986
1-4 years	F	2018	6	7798370	0.0769391552337219
1-4 years	F	2019	4	7719541	0.0518165523053767
1-4 years	F	2020	5	7613266	0.0656748365287644
1-4 years	F	2021	4	7459995	0.0536193388869564
1-4 years	F	2022	5	7263012	0.0688419625356533
1-4 years	M	2000	1	7861716	0.012719869300799
1-4 years	M	2001	10	7817023	0.127925938045724
1-4 years	M	2002	10	7913020	0.126374001329455
1-4 years	M	2003	10	7979882	0.125315136238857
1-4 years	M	2004	16	8058452	0.19854929954289
1-4 years	M	2005	14	8127884	0.172246552731314
1-4 years	M	2006	3	8122053	0.0369364740663475
1-4 years	M	2007	16	8164877	0.195961310868492
1-4 years	M	2008	13	8247098	0.157631205546484
1-4 years	M	2009	3	8297671	0.0361547234157633
1-4 years	M	2010	8	8305151	0.0963257621685626
1-4 years	M	2011	2	8255790	0.0242254224005213
1-4 years	M	2012	10	8199397	0.121960188047975
1-4 years	M	2013	2	8135691	0.0245830378759469
1-4 years	M	2014	2	8137871	0.0245764524898465
1-4 years	M	2015	13	8142467	0.159656772327109
1-4 years	M	2016	8	8156375	0.098082788003249
1-4 years	M	2017	3	8180818	0.0366711495109658
1-4 years	M	2018	2	8163697	0.0244987044472621
1-4 years	M	2019	7	8074090	0.0866970766984267
1-4 years	M	2020	8	7953016	0.100590769589801
1-4 years	M	2021	7	7802850	0.0897108107934921
1-4 years	M	2022	1	7592228	0.0131713641898004
10-14 years	F	2000	8	10007875	0.0799370495734609
10-14 years	F	2001	1	10231469	0.00977376757922054
10-14 years	F	2002	5	10371422	0.0482093969370835
10-14 years	F	2003	12	10444875	0.114888880910494
10-14 years	F	2004	8	10443706	0.0766011605458829
10-14 years	F	2005	14	10348382	0.135286849673698
10-14 years	F	2006	1	10261944	0.00974474232172774
10-14 years	F	2007	3	10170082	0.0294982872311157
10-14 years	F	2008	8	10108474	0.0791415202729908
10-14 years	F	2009	9	10088732	0.0892084357082734
10-14 years	F	2010	12	10097332	0.118843274639281
10-14 years	F	2011	8	10117822	0.0790684002940554
10-14 years	F	2012	4	10102004	0.0395961039017605
10-14 years	F	2013	9	10097931	0.0891271687239693
10-14 years	F	2014	9	10120287	0.0889302842893685
10-14 years	F	2015	1	10101942	0.00989908673005646
10-14 years	F	2016	7	10099501	0.0693103550363528
10-14 years	F	2017	5	10173382	0.0491478644957989
10-14 years	F	2018	9	10220687	0.0880567030376725
10-14 years	F	2019	1	10180007	0.00982317595655877
10-14 years	F	2020	2	10159455	0.0196860953663361
10-14 years	F	2021	9	10459561	0.0860456762955921
10-14 years	F	2022	3	10187986	0.0294464480025787
10-14 years	M	2000	10	10520197	0.0950552541934338
10-14 years	M	2001	9	10747209	0.0837426721672576
10-14 years	M	2002	4	10889999	0.0367309491947612
10-14 years	M	2003	10	10970478	0.0911537309495539
10-14 years	M	2004	10	10967974	0.0911745414422026
10-14 years	M	2005	10	10864197	0.0920454590431304
10-14 years	M	2006	17	10771194	0.157828370745156
10-14 years	M	2007	1	10670960	0.00937122808069752
10-14 years	M	2008	7	10598181	0.0660490701187307
10-14 years	M	2009	4	10571832	0.0378363939192375
10-14 years	M	2010	9	10579862	0.0850672721440034
10-14 years	M	2011	5	10587030	0.0472275982971617
10-14 years	M	2012	3	10567214	0.0283896966598765
10-14 years	M	2013	5	10552523	0.0473820336615234
10-14 years	M	2014	9	10551219	0.0852982010893718
10-14 years	M	2015	3	10520388	0.0285160585332024
10-14 years	M	2016	8	10518732	0.0760547944372002
10-14 years	M	2017	4	10605072	0.0377178014444409
10-14 years	M	2018	5	10658840	0.0469094197867685
10-14 years	M	2019	9	10618261	0.0847596419036978
10-14 years	M	2020	1	10594968	0.00943844285324883
10-14 years	M	2021	1	10988223	0.00910065258049459
10-14 years	M	2022	5	10701853	0.0467208809539806
15-19 years	F	2000	19	9828886	0.193307766515961
15-19 years	F	2001	8	9908897	0.0807355248520597
15-19 years	F	2002	18	9981879	0.180326770140171
15-19 years	F	2003	20	10086567	0.198283519060549
15-19 years	F	2004	19	10242793	0.18549628016499
15-19 years	F	2005	25	10434789	0.239583186588632
15-19 years	F	2006	14	10597293	0.132109209399042
15-19 years	F	2007	22	10731326	0.205007284281551
15-19 years	F	2008	10	10805148	0.0925484778181659
15-19 years	F	2009	12	10804571	0.111064104257356
15-19 years	F	2010	17	10736677	0.158335768133846
15-19 years	F	2011	11	10525097	0.104512100933607
15-19 years	F	2012	12	10397841	0.115408573760649
15-19 years	F	2013	13	10312774	0.126057256757493
15-19 years	F	2014	12	10283624	0.116690380745154
15-19 years	F	2015	13	10311036	0.12607850462359
15-19 years	F	2016	12	10328153	0.116187279564894
15-19 years	F	2017	12	10331169	0.116153360766821
15-19 years	F	2018	6	10322313	0.0581265071113422
15-19 years	F	2019	15	10308963	0.145504450835647
15-19 years	F	2020	12	10266332	0.116886927093338
