Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	164	55141393	0.297417223391509
1-4 years	M	208	57592037	0.361161040370911
10-14 years	F	29	70946390	0.0408759346317691
10-14 years	M	49	74346273	0.0659078095279907
15-19 years	F	48	74597953	0.0643449291430289
15-19 years	M	31	78726350	0.0393769049371653
20-24 years	F	33	73754628	0.0447429549776863
20-24 years	M	37	77247274	0.0478981303599141
25-29 years	F	21	31413230	0.0668508141314981
25-29 years	M	27	73771513	0.0365994933572801
30-34 years	F	23	49232011	0.046717571622252
30-34 years	M	20	39842582	0.0501975499479426
35-39 years	F	23	41263094	0.0557398822298687
35-39 years	M	20	51049126	0.0391779479241231
40-44 years	F	13	53633787	0.0242384525262033
40-44 years	M	25	52765405	0.0473795283102631
45-49 years	F	12	45752478	0.0262280875803055
45-49 years	M	40	66696366	0.059973282502378
5-9 years	F	50	68744459	0.0727331347534497
5-9 years	M	59	71785330	0.0821894947059518
50-54 years	F	23	44410538	0.0517895099581996
50-54 years	M	35	53740432	0.0651278724369019
55-59 years	F	9	20580654	0.0437303887427484
55-59 years	M	24	46384219	0.0517417356967895
60-64 years	F	1	7979525	0.0125320742776042
60-64 years	M	22	31017088	0.0709286442363642
65-69 years	F	5	6801858	0.0735093264222805
65-69 years	M	11	18143902	0.060626429750337
70-74 years	M	27	16590317	0.162745534036511
75-79 years	F	5	4198131	0.119100618822995
75-79 years	M	15	9633837	0.155701201919858
80-84 years	F	26	13836696	0.187906130191774
80-84 years	M	8	6814117	0.117403326065578
< 1 year	F	40009	13794201	290.042170619378
< 1 year	M	51321	14415623	356.009587653617
