Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2013	16	7790614	0.205375340120817
1-4 years	F	2014	14	7790662	0.179702315412991
1-4 years	F	2015	16	7786776	0.205476566938615
1-4 years	F	2016	25	7800517	0.320491577673634
1-4 years	F	2017	23	7818747	0.294164781134368
1-4 years	F	2018	22	7798370	0.28211023585698
1-4 years	F	2019	32	7719541	0.414532418443014
1-4 years	M	2013	29	8135691	0.35645404920123
1-4 years	M	2014	24	8137871	0.294917429878159
1-4 years	M	2015	34	8142467	0.417563866086286
1-4 years	M	2016	35	8156375	0.429112197514214
1-4 years	M	2017	19	8180818	0.23225061356945
1-4 years	M	2018	40	8163697	0.489974088945241
1-4 years	M	2019	25	8074090	0.309632416780095
10-14 years	F	2013	4	10097931	0.0396120749884308
10-14 years	F	2014	11	10120287	0.108692569687006
10-14 years	F	2015	1	10101942	0.00989908673005646
10-14 years	F	2016	2	10099501	0.0198029585818151
10-14 years	F	2017	3	10173382	0.0294887186974794
10-14 years	F	2018	7	10220687	0.0684885468070786
10-14 years	F	2019	2	10180007	0.0196463519131175
10-14 years	M	2013	2	10552523	0.0189528134646094
10-14 years	M	2014	2	10551219	0.0189551557976382
10-14 years	M	2015	2	10520388	0.0190107056888016
10-14 years	M	2016	1	10518732	0.00950684930465003
10-14 years	M	2017	7	10605072	0.0660061525277716
10-14 years	M	2018	4	10658840	0.0375275358294148
10-14 years	M	2019	10	10618261	0.0941773798929975
15-19 years	F	2013	9	10312774	0.0872704085244183
15-19 years	F	2014	4	10283624	0.0388967935817179
15-19 years	F	2015	9	10311036	0.0872851185855621
15-19 years	F	2016	4	10328153	0.038729093188298
15-19 years	F	2017	7	10331169	0.0677561271139791
15-19 years	F	2018	9	10322313	0.0871897606670133
15-19 years	F	2019	1	10308963	0.00970029672237644
15-19 years	M	2013	12	10846190	0.110637929079243
15-19 years	M	2014	1	10784023	0.00927297725533412
15-19 years	M	2015	9	10797867	0.0833497949178296
15-19 years	M	2016	5	10801846	0.0462883844113312
15-19 years	M	2017	10	10800491	0.0925883832503541
15-19 years	M	2018	9	10774908	0.0835273953151155
15-19 years	M	2019	7	10745607	0.0651428997915148
20-24 years	F	2013	6	11116473	0.05397395378912
20-24 years	F	2014	4	11172747	0.0358014013921554
20-24 years	F	2015	3	11071459	0.0270966997213285
20-24 years	F	2016	5	10889963	0.045913838274749
20-24 years	F	2017	3	10769493	0.027856464552231
20-24 years	F	2018	7	10672032	0.0655920072203682
20-24 years	F	2019	5	10568188	0.0473118002821297
20-24 years	M	2013	4	11678965	0.0342496103036528
