Gender	Year	AA_rate	Deaths	Population	Crude Rate
F	2000	4.62410642347031	6119	82104113	7.45273260549079
F	2001	4.31668448041986	6036	103646541	5.82363862967699
F	2002	4.51684878573913	6221	104737235	5.93962596014684
F	2003	4.48451253653648	6207	81656710	7.60133490560666
F	2004	4.40293158736802	6156	102322530	6.01627031700643
F	2005	4.56547388695276	6365	99440742	6.40079696911353
F	2006	4.51940233519021	6365	107218858	5.93645569326993
F	2007	4.42894382162146	6394	72697575	8.79534152273993
F	2008	4.19605436024516	6048	114629027	5.27615051639582
F	2009	4.10069602635654	5725	60930448	9.39595914344828
F	2010	3.8789802442747	5339	118630097	4.50054424215804
F	2011	3.8596985113818	5376	113822065	4.72316154165715
F	2012	3.82094044762409	5247	88152956	5.95215434409256
F	2013	3.91992312972412	5386	132254140	4.07246230628395
F	2014	3.78116533798158	5209	104110270	5.00334885309586
F	2015	3.78424812158491	5246	126333843	4.152489843913
F	2016	3.69161044074726	5111	126487195	4.04072522914276
F	2017	3.50891231678766	4816	118974202	4.04793637531605
F	2018	3.45828109524086	4641	125566429	3.6960515935354
F	2019	3.45863152069648	4561	113085556	4.033229495728
F	2020	3.29482615593067	4300	121498354	3.5391425961211
F	2021	3.46079234021538	4309	89015212	4.84074564693504
F	2022	3.53041125433674	4541	103959281	4.36805637391817
M	2000	5.75011667735907	7986	100679886	7.93207096003267
M	2001	5.39824910109592	7878	121013402	6.5100227493811
M	2002	5.61331541220362	8069	117686070	6.8563764598478
M	2003	5.67297359685716	8216	95791943	8.57692175635272
M	2004	5.55921189287502	8125	126918428	6.40174963402478
M	2005	5.62302357015557	8203	126635766	6.47763286716329
M	2006	5.51606027719602	8117	105495166	7.69419140968033
M	2007	5.45716302654	8241	129496948	6.36385654432566
M	2008	5.29778157472112	7960	140128285	5.6805091134884
M	2009	5.09929168475834	7431	107680394	6.9009777211625
M	2010	4.74631311736343	6816	119538180	5.7019439312193
M	2011	4.59518312283196	6693	98825275	6.77255894304367
M	2012	4.6756855233531	6721	139397543	4.82146231228767
M	2013	4.68882189259377	6741	109602197	6.15042415618731
M	2014	4.67761668433353	6728	125837015	5.34659853462036
M	2015	4.49869502765975	6529	112698151	5.79335148098393
M	2016	4.43610859235337	6423	114387334	5.61513217888267
M	2017	4.41234057077981	6342	128729214	4.92662061931024
M	2018	4.36264272098812	6133	141790739	4.32538827518206
M	2019	4.27244502803527	5900	114168766	5.16778818472996
M	2020	3.97927841796523	5421	134887457	4.01890592392145
M	2021	4.0746445507602	5303	147919412	3.58506022184566
M	2022	4.26118538063568	5734	144830240	3.95911793006764
