Age_groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2000	27	7508434	0.359595622735713
1-4 years	F	2001	28	7468536	0.374906139570058
1-4 years	F	2002	25	7564711	0.33048189150914
1-4 years	F	2003	36	7636693	0.471408239142257
1-4 years	F	2004	23	7713175	0.29819108214192
1-4 years	F	2005	22	7785123	0.282590268644439
1-4 years	F	2006	28	7775092	0.36012435608479
1-4 years	F	2007	36	7813088	0.460765320958883
1-4 years	F	2008	24	7891294	0.304132630212485
1-4 years	F	2009	25	7943260	0.314732238400858
1-4 years	F	2010	22	7952058	0.276657941881209
1-4 years	F	2011	14	7909731	0.17699716968883
1-4 years	F	2012	15	7856870	0.190915720891398
1-4 years	F	2013	16	7790614	0.205375340120817
1-4 years	F	2014	14	7790662	0.179702315412991
1-4 years	F	2015	16	7786776	0.205476566938615
1-4 years	F	2016	25	7800517	0.320491577673634
1-4 years	F	2017	23	7818747	0.294164781134368
1-4 years	F	2018	22	7798370	0.28211023585698
1-4 years	F	2019	32	7719541	0.414532418443014
1-4 years	F	2020	23	7613266	0.302104248032316
1-4 years	F	2021	29	7459995	0.388740206930434
1-4 years	F	2022	25	7263012	0.344209812678266
1-4 years	M	2000	52	7861716	0.661433203641546
1-4 years	M	2001	44	7817023	0.562874127401186
1-4 years	M	2002	40	7913020	0.505496005317818
1-4 years	M	2003	43	7979882	0.538855085827084
1-4 years	M	2004	38	8058452	0.471554586414363
1-4 years	M	2005	36	8127884	0.442919707023378
1-4 years	M	2006	37	8122053	0.455549846818286
1-4 years	M	2007	34	8164877	0.416417785595545
1-4 years	M	2008	27	8247098	0.327387888442698
1-4 years	M	2009	33	8297671	0.397701957573396
1-4 years	M	2010	30	8305151	0.36122160813211
1-4 years	M	2011	20	8255790	0.242254224005213
1-4 years	M	2012	27	8199397	0.329292507729532
1-4 years	M	2013	29	8135691	0.35645404920123
1-4 years	M	2014	24	8137871	0.294917429878159
1-4 years	M	2015	34	8142467	0.417563866086286
1-4 years	M	2016	35	8156375	0.429112197514214
1-4 years	M	2017	19	8180818	0.23225061356945
1-4 years	M	2018	40	8163697	0.489974088945241
1-4 years	M	2019	25	8074090	0.309632416780095
1-4 years	M	2020	31	7953016	0.389789232160479
1-4 years	M	2021	39	7802850	0.499817374420885
1-4 years	M	2022	37	7592228	0.487340475022615
10-14 years	F	2000	5	10007875	0.0499606559834131
10-14 years	F	2001	3	10231469	0.0293213027376616
10-14 years	F	2002	2	10371422	0.0192837587748334
10-14 years	F	2003	8	10444875	0.0765925872736629
10-14 years	F	2004	9	10443706	0.0861763056141182
10-14 years	F	2005	5	10348382	0.0483167320263206
10-14 years	F	2006	2	10261944	0.0194894846434555
10-14 years	F	2007	3	10170082	0.0294982872311157
10-14 years	F	2008	1	10108474	0.00989269003412385
10-14 years	F	2009	2	10088732	0.0198240968240607
10-14 years	F	2010	1	10097332	0.00990360621994008
10-14 years	F	2011	9	10117822	0.0889519503308123
10-14 years	F	2012	11	10102004	0.108889285729841
10-14 years	F	2013	4	10097931	0.0396120749884308
10-14 years	F	2014	11	10120287	0.108692569687006
10-14 years	F	2015	1	10101942	0.00989908673005646
10-14 years	F	2016	2	10099501	0.0198029585818151
10-14 years	F	2017	3	10173382	0.0294887186974794
10-14 years	F	2018	7	10220687	0.0684885468070786
10-14 years	F	2019	2	10180007	0.0196463519131175
10-14 years	F	2020	4	10159455	0.0393721907326722
10-14 years	F	2021	2	10459561	0.0191212613990205
10-14 years	F	2022	5	10187986	0.0490774133376312
10-14 years	M	2000	10	10520197	0.0950552541934338
10-14 years	M	2001	6	10747209	0.055828448111505
10-14 years	M	2002	6	10889999	0.0550964237921418
10-14 years	M	2003	7	10970478	0.0638076116646877
10-14 years	M	2004	2	10967974	0.0182349082884405
10-14 years	M	2005	1	10864197	0.00920454590431304
10-14 years	M	2006	9	10771194	0.0835561962768473
10-14 years	M	2007	9	10670960	0.0843410527262777
10-14 years	M	2008	3	10598181	0.0283067443365989
10-14 years	M	2009	3	10571832	0.0283772954394281
10-14 years	M	2010	9	10579862	0.0850672721440034
10-14 years	M	2011	9	10587030	0.0850096769348911
10-14 years	M	2012	7	10567214	0.0662426255397118
10-14 years	M	2013	2	10552523	0.0189528134646094
10-14 years	M	2014	2	10551219	0.0189551557976382
10-14 years	M	2015	2	10520388	0.0190107056888016
10-14 years	M	2016	1	10518732	0.00950684930465003
10-14 years	M	2017	7	10605072	0.0660061525277716
10-14 years	M	2018	4	10658840	0.0375275358294148
10-14 years	M	2019	10	10618261	0.0941773798929975
10-14 years	M	2020	5	10594968	0.0471922142662441
10-14 years	M	2021	1	10988223	0.00910065258049459
10-14 years	M	2022	7	10701853	0.0654092333355728
15-19 years	F	2000	4	9828886	0.0406963718980971
15-19 years	F	2001	1	9908897	0.0100919406065075
15-19 years	F	2002	5	9981879	0.0500907694833808
15-19 years	F	2003	4	10086567	0.0396567038121097
15-19 years	F	2004	8	10242793	0.0781036969115748
15-19 years	F	2005	2	10434789	0.0191666549270905
15-19 years	F	2006	4	10597293	0.0377454883997262
15-19 years	F	2007	8	10731326	0.0745481033751095
15-19 years	F	2008	7	10805148	0.0647839344727162
15-19 years	F	2009	8	10804571	0.0740427361715703
15-19 years	F	2010	7	10736677	0.0651970809962896
15-19 years	F	2011	7	10525097	0.0665077005941133
15-19 years	F	2012	7	10397841	0.0673216680270452
15-19 years	F	2013	9	10312774	0.0872704085244183
15-19 years	F	2014	4	10283624	0.0388967935817179
