Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2006	271	7775092	3.48548930353493
1-4 years	F	2007	260	7813088	3.3277495402586
1-4 years	F	2008	248	7891294	3.14270384552901
1-4 years	F	2009	234	7943260	2.94589375143203
1-4 years	F	2010	276	7952058	3.47079963450971
1-4 years	F	2011	227	7909731	2.8698826799546
1-4 years	F	2012	226	7856870	2.87646352809707
1-4 years	M	2006	244	8122053	3.00416655739626
1-4 years	M	2007	286	8164877	3.50280843177429
1-4 years	M	2008	273	8247098	3.31025531647617
1-4 years	M	2009	230	8297671	2.77186212854185
1-4 years	M	2010	231	8305151	2.78140638261725
1-4 years	M	2011	266	8255790	3.22198117926934
1-4 years	M	2012	275	8199397	3.3539051713193
10-14 years	F	2006	71	10261944	0.691876704842669
10-14 years	F	2007	81	10170082	0.796453755240125
10-14 years	F	2008	80	10108474	0.791415202729908
10-14 years	F	2009	70	10088732	0.693843388842126
10-14 years	F	2010	68	10097332	0.673445222955925
10-14 years	F	2011	87	10117822	0.859868853197852
10-14 years	F	2012	73	10102004	0.722628896207129
10-14 years	M	2006	91	10771194	0.844845984577012
10-14 years	M	2007	97	10670960	0.909009123827659
10-14 years	M	2008	81	10598181	0.76428209708817
10-14 years	M	2009	99	10571832	0.936450749501127
10-14 years	M	2010	67	10579862	0.63327858151647
10-14 years	M	2011	89	10587030	0.840651249689478
10-14 years	M	2012	87	10567214	0.823301203136418
15-19 years	F	2006	88	10597293	0.830400744793977
15-19 years	F	2007	78	10731326	0.726844007907317
15-19 years	F	2008	85	10805148	0.78666206145441
15-19 years	F	2009	103	10804571	0.953300228208968
15-19 years	F	2010	75	10736677	0.698540153531675
15-19 years	F	2011	77	10525097	0.731584706535246
15-19 years	F	2012	84	10397841	0.807860016324543
15-19 years	M	2006	140	11210416	1.24883858012049
15-19 years	M	2007	113	11336490	0.996781190650722
15-19 years	M	2008	145	11405732	1.271290610721
15-19 years	M	2009	127	11388239	1.11518558751709
