Age_groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2000	236	7508434	3.14313210983808
1-4 years	F	2001	275	7468536	3.68211387077735
1-4 years	F	2002	248	7564711	3.27838036377067
1-4 years	F	2003	266	7636693	3.4831831003289
1-4 years	F	2004	251	7713175	3.25417224424443
1-4 years	F	2005	258	7785123	3.3140131504666
1-4 years	F	2006	271	7775092	3.48548930353493
1-4 years	F	2007	260	7813088	3.3277495402586
1-4 years	F	2008	248	7891294	3.14270384552901
1-4 years	F	2009	234	7943260	2.94589375143203
1-4 years	F	2010	276	7952058	3.47079963450971
1-4 years	F	2011	227	7909731	2.8698826799546
1-4 years	F	2012	226	7856870	2.87646352809707
1-4 years	F	2013	244	7790614	3.13197393684246
1-4 years	F	2014	180	7790662	2.31045834102416
1-4 years	F	2015	208	7786776	2.67119537020199
1-4 years	F	2016	227	7800517	2.91006352527659
1-4 years	F	2017	199	7818747	2.54516484546693
1-4 years	F	2018	174	7798370	2.23123550177794
1-4 years	F	2019	207	7719541	2.68150658180324
1-4 years	F	2020	185	7613266	2.42996895156428
1-4 years	F	2021	217	7459995	2.90884913461738
1-4 years	F	2022	231	7263012	3.18049866914718
1-4 years	M	2000	259	7861716	3.29444614890693
1-4 years	M	2001	282	7817023	3.60751145288942
1-4 years	M	2002	282	7913020	3.56374683749062
1-4 years	M	2003	275	7979882	3.44616624656856
1-4 years	M	2004	318	8058452	3.94616732841494
1-4 years	M	2005	264	8127884	3.24807785150477
1-4 years	M	2006	244	8122053	3.00416655739626
1-4 years	M	2007	286	8164877	3.50280843177429
1-4 years	M	2008	273	8247098	3.31025531647617
1-4 years	M	2009	230	8297671	2.77186212854185
1-4 years	M	2010	231	8305151	2.78140638261725
1-4 years	M	2011	266	8255790	3.22198117926934
1-4 years	M	2012	275	8199397	3.3539051713193
1-4 years	M	2013	232	8135691	2.85163239360984
1-4 years	M	2014	219	8137871	2.6911215476382
1-4 years	M	2015	227	8142467	2.78785287063491
1-4 years	M	2016	206	8156375	2.52563179108366
1-4 years	M	2017	225	8180818	2.75033621332243
1-4 years	M	2018	210	8163697	2.57236396696252
1-4 years	M	2019	209	8074090	2.5885270042816
1-4 years	M	2020	197	7953016	2.47704770114885
1-4 years	M	2021	195	7802850	2.49908687210442
1-4 years	M	2022	210	7592228	2.76598647985809
10-14 years	F	2000	99	10007875	0.989220988471579
10-14 years	F	2001	85	10231469	0.830770244233746
10-14 years	F	2002	102	10371422	0.983471697516503
10-14 years	F	2003	102	10444875	0.976555487739202
10-14 years	F	2004	84	10443706	0.80431218573177
10-14 years	F	2005	91	10348382	0.879364522879036
10-14 years	F	2006	71	10261944	0.691876704842669
10-14 years	F	2007	81	10170082	0.796453755240125
