Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	750	54505227	1.37601481780821
1-4 years	M	1026	56991009	1.8002839711085
10-14 years	F	188	70993737	0.264812091804662
10-14 years	M	222	74025035	0.299898541081406
15-19 years	F	402	72198032	0.556801880693923
15-19 years	M	740	75550932	0.979471702612484
20-24 years	F	860	76260355	1.12771570496885
20-24 years	M	1776	80192752	2.2146639885859
25-29 years	F	1186	78274027	1.51518970654212
25-29 years	M	2485	81087779	3.06458017551572
30-34 years	F	1469	75810445	1.93772771021196
30-34 years	M	2701	76984052	3.50851888128726
35-39 years	F	1635	72640928	2.25079723651108
35-39 years	M	2695	72566087	3.71385603305302
40-44 years	F	1825	70787626	2.57813420667618
40-44 years	M	2839	69843523	4.06480068309269
45-49 years	F	2352	73724569	3.19025262799434
45-49 years	M	3675	72291990	5.08355075022835
5-9 years	F	139	69819546	0.199084651739214
5-9 years	M	191	72883351	0.262062593691665
50-54 years	F	3076	77339639	3.9772619057609
50-54 years	M	5032	74726578	6.73388255514658
55-59 years	F	3869	78300582	4.94121486862001
55-59 years	M	6511	74019679	8.79630942468691
60-64 years	F	4385	71002917	6.17580260822242
60-64 years	M	7344	65128628	11.2761472573935
65-69 years	F	5063	60339950	8.39079250148533
65-69 years	M	7326	53859859	13.6019665406105
70-74 years	F	6338	45862200	13.8196597633781
70-74 years	M	7379	39393089	18.7317120523349
75-79 years	F	8105	33154498	24.4461550888208
75-79 years	M	7934	26598427	29.8288316072225
80-84 years	F	12170	24206738	50.2752580707074
80-84 years	M	9561	17397051	54.9575902260676
< 1 year	F	7878	13389903	58.8353776722654
< 1 year	M	10904	14018968	77.7803330459132
