Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2006	105	7775092	1.35046633531796
1-4 years	F	2007	104	7813088	1.33109981610344
1-4 years	F	2008	105	7891294	1.33058025717962
1-4 years	F	2009	115	7943260	1.44776829664395
1-4 years	F	2010	112	7952058	1.40844043139524
1-4 years	F	2011	123	7909731	1.55504656226615
1-4 years	F	2012	124	7856870	1.57823662603556
1-4 years	M	2006	134	8122053	1.64982917496352
1-4 years	M	2007	133	8164877	1.62892839659434
1-4 years	M	2008	168	8247098	2.03708019475457
1-4 years	M	2009	167	8297671	2.01261293681082
1-4 years	M	2010	131	8305151	1.57733435551021
1-4 years	M	2011	155	8255790	1.8774702360404
1-4 years	M	2012	143	8199397	1.74403068908604
10-14 years	F	2006	25	10261944	0.243618558043193
10-14 years	F	2007	27	10170082	0.265484585080042
10-14 years	F	2008	31	10108474	0.306673391057839
10-14 years	F	2009	41	10088732	0.406393984893245
10-14 years	F	2010	21	10097332	0.207975730618742
10-14 years	F	2011	24	10117822	0.237205200882166
10-14 years	F	2012	28	10102004	0.277172727312323
10-14 years	M	2006	37	10771194	0.343508806915928
10-14 years	M	2007	40	10670960	0.374849123227901
10-14 years	M	2008	56	10598181	0.528392560949846
10-14 years	M	2009	46	10571832	0.435118530071231
10-14 years	M	2010	32	10579862	0.302461412067568
10-14 years	M	2011	32	10587030	0.302256629101835
10-14 years	M	2012	27	10567214	0.255507269938888
15-19 years	F	2006	70	10597293	0.660546046995209
15-19 years	F	2007	65	10731326	0.605703339922764
15-19 years	F	2008	78	10805148	0.721878126981694
15-19 years	F	2009	72	10804571	0.666384625544133
15-19 years	F	2010	66	10736677	0.614715335107874
15-19 years	F	2011	58	10525097	0.551063804922653
15-19 years	F	2012	60	10397841	0.577042868803245
15-19 years	M	2006	125	11210416	1.11503444653615
15-19 years	M	2007	140	11336490	1.23495014770886
15-19 years	M	2008	149	11405732	1.30636069653399
15-19 years	M	2009	169	11388239	1.48398712039675
15-19 years	M	2010	118	11303666	1.04390911762609
15-19 years	M	2011	108	11118946	0.971315086879638
15-19 years	M	2012	115	10962861	1.04899624286033
20-24 years	F	2006	153	10238784	1.49431807527144
20-24 years	F	2007	114	10270163	1.11001159377899
20-24 years	F	2008	130	10339566	1.25730615772461
20-24 years	F	2009	141	10459413	1.34806800343384
20-24 years	F	2010	112	10571823	1.05941993164282
20-24 years	F	2011	122	10841132	1.12534373716693
20-24 years	F	2012	126	11033747	1.14195114316107
20-24 years	M	2006	311	10797351	2.88033611207045
20-24 years	M	2007	256	10807836	2.36865178191083
20-24 years	M	2008	313	10841046	2.88717527810508
20-24 years	M	2009	373	10924709	3.4142785862763
20-24 years	M	2010	214	11014176	1.94295061201128
20-24 years	M	2011	237	11312700	2.0949905858018
20-24 years	M	2012	243	11549456	2.10399520115926
25-29 years	F	2006	153	10014422	1.52779661172657
25-29 years	F	2007	140	10229259	1.36862308403766
25-29 years	F	2008	160	10393532	1.53941893862452
25-29 years	F	2009	220	10466871	2.10186979470751
25-29 years	F	2010	131	10466258	1.25164122650139
25-29 years	F	2011	170	10518279	1.61623398656757
25-29 years	F	2012	172	10553440	1.62980033050835
25-29 years	M	2006	338	10095589	3.34799683307235
25-29 years	M	2007	307	10313439	2.97669865502671
25-29 years	M	2008	344	10509136	3.27334235659335
25-29 years	M	2009	441	10611357	4.15592463810237
25-29 years	M	2010	287	10635591	2.69848661912629
25-29 years	M	2011	265	10761515	2.46247856365948
25-29 years	M	2012	327	10844886	3.01524608004178
30-34 years	F	2006	148	9611918	1.53975512483565
30-34 years	F	2007	151	9559334	1.57960795176735
30-34 years	F	2008	192	9625879	1.99462303650399
30-34 years	F	2009	241	9800559	2.45904340762603
30-34 years	F	2010	177	9965599	1.77610999599723
30-34 years	F	2011	164	10228056	1.6034327539857
30-34 years	F	2012	209	10417089	2.00631865581642
30-34 years	M	2006	374	9673250	3.86633241154731
30-34 years	M	2007	279	9611431	2.90279355904443
30-34 years	M	2008	350	9678926	3.61610368753723
30-34 years	M	2009	470	9844555	4.77421275009383
30-34 years	M	2010	293	9996500	2.93102585905067
30-34 years	M	2011	289	10282648	2.81056008141094
30-34 years	M	2012	328	10493906	3.12562357619746
35-39 years	F	2006	254	10489448	2.42148109223669
