Gender	Year	AA_rate	Deaths	Population	Crude Rate
F	2000	6.40174319741522	9406	140355754	6.70154213983988
F	2001	6.46586344570411	9695	142026033	6.82621333231211
F	2002	5.64085932694778	8559	143317188	5.9720680536936
F	2003	5.75128153174807	8837	144551061	6.11341067915095
F	2004	5.36858005296038	8387	145810702	5.75197834244019
F	2005	5.64596316931545	8849	147070066	6.01686001827184
F	2006	5.31082769717736	8448	148385108	5.69329369629195
F	2007	5.4797134155183	8856	149720044	5.91503967231001
F	2008	6.26088075725107	10206	151070989	6.75576433804905
F	2009	6.44413265101922	10494	152332121	6.88889508733355
F	2010	5.77439722933194	9522	153260458	6.21295285441467
F	2011	5.77288983846926	9690	154457950	6.27355212211479
F	2012	5.93817040628335	10020	155498676	6.44378476894556
F	2013	5.45857638440738	9290	156478230	5.93692809536509
F	2014	4.92353264698714	8458	157867207	5.35766747301737
F	2015	4.92143229937312	8510	159076660	5.34962199985843
F	2016	5.08236878056791	8941	159893102	5.59186099222717
F	2017	4.90645107571871	8787	161122046	5.45362985273908
F	2018	4.83527601008225	8815	161819945	5.44741255473792
F	2019	4.79544353227323	8889	162353729	5.47508212761778
F	2020	4.98069745800701	9327	162984194	5.72264081018801
F	2021	5.35588344521095	9917	163709190	6.05769291265811
F	2022	5.15552000032003	9814	163801963	5.99138118998
M	2000	10.4878209852554	13531	136826565	9.88916150895113
M	2001	10.129301531286	13427	138630428	9.68546385790571
M	2002	8.8277740476823	11753	139939197	8.39864759263982
M	2003	8.83360680472846	11930	141090696	8.45555400761507
M	2004	7.94895471011555	10858	142448713	7.6223924887268
M	2005	8.37862977452816	11641	143753234	8.09790477478928
M	2006	7.69826511341619	10725	145128875	7.38998355771724
M	2007	7.58519420372995	10741	146471618	7.33316129545316
M	2008	8.78935154207378	12616	147827137	8.53429232009005
M	2009	9.16476642447259	13281	149072107	8.90911134703422
M	2010	7.76199640449811	11180	149991647	7.45374840773633
M	2011	7.55216608715704	11117	151396794	7.34295602058786
M	2012	7.94236301582606	11896	152528034	7.7992220105584
M	2013	7.43828073769855	11346	153609820	7.3862465303325
M	2014	6.97900663451451	10882	154827618	7.0284618084094
M	2015	7.05205060354627	11203	156054999	7.17887928729537
M	2016	7.39082297873019	11908	156854080	7.59176936933996
M	2017	7.10109083789749	11653	158128450	7.36932538072687
M	2018	6.90141443022767	11466	158802986	7.22026725618371
M	2019	7.01703998305284	11883	159280836	7.46040785471518
M	2020	7.47143222228451	12786	159841509	7.99917373152427
M	2021	8.02201390768806	13710	162208799	8.45206923700853
M	2022	7.81647515300204	13692	162999726	8.40001412026914
