Gender	Year	AA_rate	Deaths	Population	Crude Rate
F	2001	0.505577982405524	720	130154231	0.553189853659079
F	2013	0.00123435797846944	2	10620319	0.0188318260496695
F	2019	0.011798763251575	23	41489155	0.0554361736217573
F	2020	44.1624604868292	95306	162984194	58.4756089906485
F	2021	64.7935295726549	137047	163709190	83.7136876677479
F	2022	25.5758713157966	56315	163801963	34.3799298668967
M	2001	1.59297148956602	2222	124324980	1.78725144375652
M	2002	0.00176823584551164	2	3101769	0.0644793342121867
M	2013	0.00758873002572709	12	21468853	0.0558949283410716
M	2015	0.0109348386137097	16	43280830	0.0369678677603918
M	2017	0.00682373821590664	11	22438273	0.0490233807209673
M	2018	0.000922603470759384	2	10669327	0.0187453247988369
M	2019	0.031109836569522	49	71931631	0.0681202404544393
M	2020	79.3926381539909	146064	159841509	91.3805186861693
M	2021	106.20395574053	198942	162208799	122.645627873738
M	2022	40.252889658012	77184	162999726	47.3522268374856
