Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	5206	45676672	11.3975028653576
1-4 years	M	7727	47757977	16.1794960452366
10-14 years	F	4126	61847729	6.67122312607469
10-14 years	M	8168	64960054	12.5738811731899
15-19 years	F	15818	60483811	26.1524525959517
15-19 years	M	47221	64188665	73.5659481311848
20-24 years	F	16258	59376552	27.3811790216448
20-24 years	M	70427	61985703	113.618135459398
25-29 years	F	13940	56633003	24.614622678582
25-29 years	M	56259	57672370	97.5493117414804
30-34 years	F	15720	60792859	25.8583002322691
30-34 years	M	52409	61383658	85.3794017945297
35-39 years	F	20358	64957965	31.3402675099197
35-39 years	M	57338	64673296	88.6579215013257
40-44 years	F	24628	68912428	35.7381109834064
40-44 years	M	64632	67757258	95.3875671887431
45-49 years	F	23227	65053497	35.7044602844333
45-49 years	M	60470	63195287	95.6875154313327
5-9 years	F	3300	58128639	5.67706393401022
5-9 years	M	4836	60930800	7.93687264897228
50-54 years	F	18505	58107486	31.8461548999039
50-54 years	M	47755	55645932	85.8193910742658
55-59 years	F	13677	47669658	28.6912064693227
55-59 years	M	34262	44836574	76.4152943532216
60-64 years	F	11136	37430470	29.7511626223235
60-64 years	M	25275	34102355	74.1151160968209
65-69 years	F	10752	31525239	34.1060063018079
65-69 years	M	21724	27391872	79.3081977018584
70-74 years	F	13364	28979391	46.1155308612248
70-74 years	M	23613	23317343	101.267970368665
75-79 years	F	18824	26104765	72.109440556159
75-79 years	M	27474	18659772	147.236525719607
80-84 years	F	23992	19836633	120.947945147748
80-84 years	M	27831	12079635	230.396034317262
< 1 year	F	3681	11614007	31.6944875270008
< 1 year	M	4800	12150282	39.5052559273933
