Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2000	910	7508434	12.1197043218333
1-4 years	F	2001	879	7468536	11.7693748815029
1-4 years	F	2002	843	7564711	11.1438493816882
1-4 years	F	2003	865	7636693	11.3268924127237
1-4 years	F	2004	880	7713175	11.409050099343
1-4 years	F	2005	829	7785123	10.6485151230109
1-4 years	M	2000	1333	7861716	16.955585777965
1-4 years	M	2001	1315	7817023	16.8222608530127
1-4 years	M	2002	1297	7913020	16.3907079724302
1-4 years	M	2003	1283	7979882	16.0779319794453
1-4 years	M	2004	1204	8058452	14.9408347906025
1-4 years	M	2005	1295	8127884	15.9328061276465
10-14 years	F	2000	708	10007875	7.07442888725129
10-14 years	F	2001	680	10231469	6.64616195386997
10-14 years	F	2002	715	10371422	6.89394376200293
10-14 years	F	2003	635	10444875	6.079536614847
10-14 years	F	2004	744	10443706	7.1239079307671
10-14 years	F	2005	644	10348382	6.2231950849901
10-14 years	M	2000	1469	10520197	13.9636168410154
10-14 years	M	2001	1374	10747209	12.7847146175347
10-14 years	M	2002	1370	10889999	12.5803500992057
10-14 years	M	2003	1380	10970478	12.5792148710384
10-14 years	M	2004	1336	10967974	12.1809187366783
10-14 years	M	2005	1239	10864197	11.4044323754439
15-19 years	F	2000	2601	9828886	26.4628158267376
15-19 years	F	2001	2500	9908897	25.2298515162687
15-19 years	F	2002	2719	9981879	27.2393604450625
15-19 years	F	2003	2624	10086567	26.014797700744
15-19 years	F	2004	2784	10242793	27.180086525228
15-19 years	F	2005	2590	10434789	24.8208181305822
15-19 years	M	2000	7846	10391004	75.5076217851518
15-19 years	M	2001	7830	10547387	74.2363961803999
15-19 years	M	2002	8006	10628491	75.3258388232158
15-19 years	M	2003	7766	10710599	72.5076160539667
15-19 years	M	2004	7875	10859759	72.5154213827397
15-19 years	M	2005	7898	11051425	71.4658969318436
20-24 years	F	2000	2461	9276187	26.5302974163846
20-24 years	F	2001	2482	9676950	25.6485772893319
20-24 years	F	2002	2727	9916245	27.5003290055863
20-24 years	F	2003	2881	10093723	28.5424912096359
20-24 years	F	2004	2813	10190641	27.6037591747173
20-24 years	F	2005	2894	10222806	28.3092528607116
20-24 years	M	2000	10613	9687814	109.549997553628
20-24 years	M	2001	11295	10080336	112.049836434024
20-24 years	M	2002	11802	10327520	114.277193362976
20-24 years	M	2003	12058	10497965	114.860356269048
20-24 years	M	2004	12011	10654919	112.727276481407
20-24 years	M	2005	12648	10737149	117.796632979574
25-29 years	F	2000	2169	9582576	22.6348322204802
25-29 years	F	2001	2214	9303113	23.7984855176971
25-29 years	F	2002	2274	9248586	24.5875423551233
25-29 years	F	2003	2324	9307104	24.9701733213683
25-29 years	F	2004	2438	9479080	25.7197955919773
25-29 years	F	2005	2521	9712544	25.9561243686515
25-29 years	M	2000	8784	9798760	89.6439957708935
25-29 years	M	2001	8981	9516234	94.3755691589761
25-29 years	M	2002	9215	9442754	97.5880553491068
25-29 years	M	2003	9242	9464481	97.6493058626247
25-29 years	M	2004	9790	9627975	101.682856467741
25-29 years	M	2005	10247	9822166	104.325257789372
30-34 years	F	2000	2428	10188619	23.830511279301
30-34 years	F	2001	2501	10263930	24.36688480923
30-34 years	F	2002	2669	10270193	25.9878271031518
30-34 years	F	2003	2659	10193818	26.0844366654378
30-34 years	F	2004	2675	10041145	26.6403881230676
30-34 years	F	2005	2788	9835154	28.347293799365
30-34 years	M	2000	8218	10321769	79.6181352246887
30-34 years	M	2001	8509	10388245	81.9098894952901
30-34 years	M	2002	8956	10388113	86.2139254742416
30-34 years	M	2003	8936	10278392	86.9396691622581
30-34 years	M	2004	8682	10118356	85.8044528182246
30-34 years	M	2005	9108	9888783	92.1043570275533
35-39 years	F	2000	3304	11387968	29.0130776623187
35-39 years	F	2001	3520	11141510	31.5935631705218
35-39 years	F	2002	3485	10903446	31.9623722628608
35-39 years	F	2003	3404	10660101	31.9321552394297
35-39 years	F	2004	3299	10453320	31.5593514787646
35-39 years	F	2005	3346	10411620	32.1371698160325
35-39 years	M	2000	9735	11318696	86.0081408671105
35-39 years	M	2001	9808	11094408	88.4048973140342
35-39 years	M	2002	9896	10847772	91.226106153411
35-39 years	M	2003	9512	10604058	89.7015086111374
35-39 years	M	2004	9218	10421329	88.4532097585634
35-39 years	M	2005	9169	10387033	88.2735233439617
40-44 years	F	2000	3492	11312761	30.8677961109582
40-44 years	F	2001	3766	11500919	32.7452093176206
40-44 years	F	2002	4240	11536009	36.7544789536832
40-44 years	F	2003	4279	11546602	37.0585216325981
40-44 years	F	2004	4439	11562414	38.391636902121
40-44 years	F	2005	4412	11453723	38.5202261308397
40-44 years	M	2000	10199	11129102	91.642614112082
40-44 years	M	2001	10390	11314915	91.8257008559057
40-44 years	M	2002	10976	11353422	96.6756983048811
40-44 years	M	2003	11160	11343445	98.382810513032
40-44 years	M	2004	10790	11363212	94.9555460199106
40-44 years	M	2005	11117	11253162	98.7900111986302
45-49 years	F	2000	2972	10202898	29.1289788450301
45-49 years	F	2001	3265	10505949	31.077630397787
45-49 years	F	2002	3814	10785791	35.3613378935305
45-49 years	F	2003	4086	11017265	37.0872444295386
45-49 years	F	2004	4514	11184506	40.3594043402543
45-49 years	F	2005	4576	11357088	40.2920185174228
45-49 years	M	2000	8653	9889506	87.4967869982586
45-49 years	M	2001	9356	10193034	91.7881761210646
45-49 years	M	2002	9922	10466497	94.7977150330239
45-49 years	M	2003	10434	10705411	97.4647306861922
45-49 years	M	2004	10792	10880756	99.1842846213995
45-49 years	M	2005	11313	11060083	102.286754990898
5-9 years	F	2000	643	10026228	6.4131795127739
5-9 years	F	2001	568	9844298	5.7698375242196
5-9 years	F	2002	553	9699735	5.7011866819042
5-9 years	F	2003	509	9581247	5.31246089366029
5-9 years	F	2004	516	9503231	5.42973226684693
5-9 years	F	2005	511	9473900	5.39376603088485
5-9 years	M	2000	931	10523277	8.84705401178739
5-9 years	M	2001	880	10329064	8.51964902144086
5-9 years	M	2002	806	10172682	7.9231809271144
5-9 years	M	2003	737	10039604	7.34092699273796
5-9 years	M	2004	767	9951006	7.70776341608075
5-9 years	M	2005	715	9915167	7.21117455712042
50-54 years	F	2000	2426	8977824	27.0221381038434
50-54 years	F	2001	2721	9541132	28.5186286071716
50-54 years	F	2002	2988	9571812	31.2166599176833
50-54 years	F	2003	3266	9759654	33.4643010910018
50-54 years	F	2004	3426	9999623	34.2612916506952
50-54 years	F	2005	3678	10257441	35.8568964715469
50-54 years	M	2000	6612	8607724	76.8147305838338
50-54 years	M	2001	7108	9146153	77.7157346919519
50-54 years	M	2002	7636	9168094	83.2888493508029
50-54 years	M	2003	8141	9337624	87.1849198468475
50-54 years	M	2004	8777	9565045	91.7611992416136
50-54 years	M	2005	9481	9821292	96.5351605471052
55-59 years	F	2000	1865	6960508	26.7940213559125
55-59 years	F	2001	1994	7209396	27.6583502973065
55-59 years	F	2002	2076	7801990	26.6085960120431
55-59 years	F	2003	2424	8141956	29.7717157891789
55-59 years	F	2004	2552	8547949	29.8551149521365
55-59 years	F	2005	2766	9007859	30.7065197179485
55-59 years	M	2000	4636	6508729	71.2274239717155
55-59 years	M	2001	4954	6759579	73.2885879431249
55-59 years	M	2002	5573	7341077	75.9152914483801
55-59 years	M	2003	6006	7672601	78.2785394418399
55-59 years	M	2004	6221	8059227	77.1910258887112
55-59 years	M	2005	6872	8495361	80.8912063889928
60-64 years	F	2000	1660	5668820	29.2829901108167
60-64 years	F	2001	1680	5834170	28.7958698495244
60-64 years	F	2002	1795	6051668	29.6612438091448
60-64 years	F	2003	1828	6377463	28.6634356012728
60-64 years	F	2004	2054	6637798	30.9439967892967
60-64 years	F	2005	2119	6860551	30.8867319840637
60-64 years	M	2000	3642	5136627	70.9025592086013
60-64 years	M	2001	3749	5302150	70.7071659609781
60-64 years	M	2002	4050	5508597	73.5214429372851
60-64 years	M	2003	4313	5816925	74.1457041306188
60-64 years	M	2004	4532	6060330	74.7814062930566
60-64 years	M	2005	4989	6277726	79.4714519238336
65-69 years	F	2000	1704	5133183	33.1957773568564
65-69 years	F	2001	1764	5134618	34.3550386805795
65-69 years	F	2002	1751	5163814	33.9090447487071
65-69 years	F	2003	1774	5253706	33.7666401583948
65-69 years	F	2004	1828	5370418	34.0383188049794
65-69 years	F	2005	1931	5469500	35.304872474632
65-69 years	M	2000	3298	4400362	74.9483792469801
65-69 years	M	2001	3545	4427615	80.0656787006097
65-69 years	M	2002	3658	4474667	81.749099988893
65-69 years	M	2003	3621	4577090	79.1114004749743
65-69 years	M	2004	3737	4703011	79.4597333495499
65-69 years	M	2005	3865	4809127	80.3680168978694
70-74 years	F	2000	2273	4954529	45.8772165830496
70-74 years	F	2001	2237	4908508	45.5739300007253
70-74 years	F	2002	2218	4852844	45.705157635399
70-74 years	F	2003	2250	4794496	46.9288117040874
70-74 years	F	2004	2161	4739945	45.5912463119298
70-74 years	F	2005	2225	4729069	47.0494298137752
70-74 years	M	2000	3917	3902912	100.360961251496
70-74 years	M	2001	3887	3913438	99.3244303346572
70-74 years	M	2002	4051	3897210	103.946156352878
70-74 years	M	2003	3874	3875623	99.9581228617954
70-74 years	M	2004	3836	3854159	99.5288466303544
70-74 years	M	2005	4048	3874001	104.491454700192
75-79 years	F	2000	3038	4371357	69.4978698834252
75-79 years	F	2001	3203	4378159	73.1586038789363
75-79 years	F	2002	3152	4368692	72.1497418449275
75-79 years	F	2003	3118	4365982	71.4157777104899
75-79 years	F	2004	3156	4321319	73.0332567440636
75-79 years	F	2005	3157	4299256	73.4313099754934
75-79 years	M	2000	4432	3044456	145.576089784185
75-79 years	M	2001	4667	3077254	151.66118883914
75-79 years	M	2002	4615	3101769	148.786063694621
75-79 years	M	2003	4550	3131860	145.281078975433
75-79 years	M	2004	4521	3140080	143.977223510229
75-79 years	M	2005	4689	3164353	148.181950623082
80-84 years	F	2000	3554	3110470	114.25925985462
80-84 years	F	2001	3825	3211574	119.100478456981
80-84 years	F	2002	4045	3295412	122.746412284716
80-84 years	F	2003	4077	3347175	121.804208026171
80-84 years	F	2004	4194	3417423	122.724052597527
80-84 years	F	2005	4297	3454579	124.385634255288
80-84 years	M	2000	4130	1834897	225.080753851579
80-84 years	M	2001	4473	1926631	232.166927657657
80-84 years	M	2002	4544	1998991	227.314680256189
80-84 years	M	2003	4692	2051421	228.719507112387
80-84 years	M	2004	4920	2111081	233.055955692842
80-84 years	M	2005	5072	2156614	235.183486706476
< 1 year	F	2000	571	1856631	30.7546302954114
< 1 year	F	2001	615	1962905	31.331113833833
< 1 year	F	2002	588	1932939	30.4199977340206
< 1 year	F	2003	574	1942634	29.5475112656321
< 1 year	F	2004	655	1962216	33.3806268015346
< 1 year	F	2005	678	1956682	34.6504950727814
< 1 year	M	2000	743	1949017	38.1217813903111
< 1 year	M	2001	802	2049753	39.1266655055512
< 1 year	M	2002	777	2018522	38.4935115891727
< 1 year	M	2003	802	2033237	39.4444917144435
< 1 year	M	2004	842	2052042	41.0322985591913
< 1 year	M	2005	834	2047711	40.7284035686677
