Gender	Year	AA_rate	Deaths	Population	Crude Rate
F	2000	26.9314873517268	38779	140355754	27.629077465538
F	2001	27.6536798681383	40414	142026033	28.4553466335288
F	2002	28.9189316885438	42652	143317188	29.7605615873513
F	2003	29.2466836448062	43577	144551061	30.1464407791514
F	2004	29.9945114435051	45128	145810702	30.9497172573794
F	2005	30.2401214468249	45962	147070066	31.2517708396214
F	2006	30.8950466881155	47420	148385108	31.957384834063
F	2007	31.1977213507716	48363	149720044	32.3022881291699
F	2008	30.3837483218696	47583	151070989	31.4971129235144
F	2009	29.862142420935	47211	152332121	30.9921503686015
F	2010	30.4054704197898	48444	153260458	31.6089359461525
F	2011	31.2087481105947	50100	154457950	32.4360125199124
F	2012	31.3170518248195	50863	155498676	32.7096032637603
F	2013	31.511239330846	51617	156478230	32.9866972549472
F	2014	32.1836950435461	53296	157867207	33.7600195840546
F	2015	33.871740335558	56459	159076660	35.4916931245602
F	2016	36.4040775330791	60895	159893102	38.084819944265
F	2017	37.8406071954435	63926	161122046	39.675514051007
F	2018	36.8764709822682	63035	161819945	38.9537890400346
F	2019	36.9887904937629	63725	162353729	39.2507153315832
F	2020	41.3695783678427	70896	162984194	43.4986965668585
F	2021	45.93903841744	78938	163709190	48.2184292769392
F	2022	44.9938335933081	78061	163801963	47.6557170441236
M	2000	73.9255461333311	99191	136826565	72.493963434659
M	2001	75.4890145326204	102923	138630428	74.2427196430498
M	2002	77.6395040429506	107150	139939197	76.5689687357574
M	2003	77.7916584034804	108507	141090696	76.9058506877023
M	2004	77.8293110093909	109851	142448713	77.1161758407743
M	2005	80.2278158757554	114599	143753234	79.7192500030991
M	2006	81.5712039682268	118058	145128875	81.3470096836346
M	2007	81.7086653409505	119394	146471618	81.5134028218354
M	2008	79.9698119311879	118118	147827137	79.9027853728913
M	2009	76.6373056562398	114216	149072107	76.6179550947113
M	2010	76.5664586819492	115173	149991647	76.7862759717546
M	2011	78.1825764297237	119119	151396794	78.680001638608
M	2012	78.323539105823	120570	152528034	79.0477637704292
M	2013	78.1884276107749	121695	153609820	79.2234506882438
M	2014	79.8893999704182	125611	154827618	81.1295824495601
M	2015	85.3171037335862	135400	156054999	86.7642823797013
M	2016	93.4076034899991	148989	156854080	94.9857345119744
M	2017	97.5005146617393	157083	158128450	99.3388602746691
M	2018	95.7768706007898	155796	158802986	98.1064675950111
M	2019	98.007207498232	160269	159280836	100.620391018038
M	2020	113.082923813601	184756	159841509	115.586996867003
M	2021	123.039347396839	204103	162208799	125.827329502637
M	2022	121.484960346163	204111	162999726	125.221682887982
