"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	12291	1852123	663.6
	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	12317	1856631	663.4
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	12091	1962905	616.0
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	12317	1932939	637.2
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	12123	1942634	624.0
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	12218	1962216	622.7
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	12422	1956682	634.9
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	12547	1975919	635.0
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	12845	2027181	633.6
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	12390	2022889	612.5
	"< 1 year"	"1"	"Female"	"F"	"2009"	"2009"	11589	1959169	591.5
	"< 1 year"	"1"	"Female"	"F"	"2010"	"2010"	10884	1929877	564.0
	"< 1 year"	"1"	"Female"	"F"	"2011"	"2011"	10658	1952827	545.8
	"< 1 year"	"1"	"Female"	"F"	"2012"	"2012"	10490	1926339	544.6
	"< 1 year"	"1"	"Female"	"F"	"2013"	"2013"	10321	1925056	536.1
	"< 1 year"	"1"	"Female"	"F"	"2014"	"2014"	10329	1930493	535.0
	"< 1 year"	"1"	"Female"	"F"	"2015"	"2015"	10447	1942904	537.7
	"< 1 year"	"1"	"Female"	"F"	"2016"	"2016"	10294	1939667	530.7
	"< 1 year"	"1"	"Female"	"F"	"2017"	"2017"	9867	1924145	512.8
	"< 1 year"	"1"	"Female"	"F"	"2018"	"2018"	9399	1879703	500.0
	"< 1 year"	"1"	"Female"	"F"	"2019"	"2019"	9247	1847935	500.4
	"< 1 year"	"1"	"Female"	"F"	"2020 "	"2020"	8723	1826869	477.5
"Total"	"< 1 year"	"1"	"Female"	"F"			245809	42477103	578.7
	"< 1 year"	"1"	"Male"	"M"	"1999"	"1999"	15646	1943639	805.0
	"< 1 year"	"1"	"Male"	"M"	"2000"	"2000"	15718	1949017	806.5
	"< 1 year"	"1"	"Male"	"M"	"2001"	"2001"	15477	2049753	755.1
	"< 1 year"	"1"	"Male"	"M"	"2002"	"2002"	15717	2018522	778.6
	"< 1 year"	"1"	"Male"	"M"	"2003"	"2003"	15902	2033237	782.1
	"< 1 year"	"1"	"Male"	"M"	"2004"	"2004"	15718	2052042	766.0
	"< 1 year"	"1"	"Male"	"M"	"2005"	"2005"	16018	2047711	782.2
	"< 1 year"	"1"	"Male"	"M"	"2006"	"2006"	15980	2065819	773.5
	"< 1 year"	"1"	"Male"	"M"	"2007"	"2007"	16293	2120816	768.2
	"< 1 year"	"1"	"Male"	"M"	"2008"	"2008"	15669	2109846	742.7
	"< 1 year"	"1"	"Male"	"M"	"2009"	"2009"	14823	2044418	725.0
	"< 1 year"	"1"	"Male"	"M"	"2010"	"2010"	13702	2014276	680.2
	"< 1 year"	"1"	"Male"	"M"	"2011"	"2011"	13327	2043710	652.1
	"< 1 year"	"1"	"Male"	"M"	"2012"	"2012"	13139	2016738	651.5
	"< 1 year"	"1"	"Male"	"M"	"2013"	"2013"	13119	2016727	650.5
	"< 1 year"	"1"	"Male"	"M"	"2014"	"2014"	12886	2017857	638.6
	"< 1 year"	"1"	"Male"	"M"	"2015"	"2015"	13008	2035134	639.2
	"< 1 year"	"1"	"Male"	"M"	"2016"	"2016"	12867	2030478	633.7
	"< 1 year"	"1"	"Male"	"M"	"2017"	"2017"	12468	2015150	618.7
	"< 1 year"	"1"	"Male"	"M"	"2018"	"2018"	12068	1968505	613.1
	"< 1 year"	"1"	"Male"	"M"	"2019"	"2019"	11674	1935117	603.3
	"< 1 year"	"1"	"Male"	"M"	"2020 "	"2020"	10859	1908141	569.1
"Total"	"< 1 year"	"1"	"Male"	"M"			312078	44436653	702.3
"Total"	"< 1 year"	"1"					557887	86913756	641.9
	"1-4 years"	"1-4"	"Female"	"F"	"1999"	"1999"	2274	7493614	30.3
	"1-4 years"	"1-4"	"Female"	"F"	"2000"	"2000"	2155	7508434	28.7
	"1-4 years"	"1-4"	"Female"	"F"	"2001"	"2001"	2208	7468536	29.6
	"1-4 years"	"1-4"	"Female"	"F"	"2002"	"2002"	2052	7564711	27.1
	"1-4 years"	"1-4"	"Female"	"F"	"2003"	"2003"	2139	7636693	28.0
	"1-4 years"	"1-4"	"Female"	"F"	"2004"	"2004"	2136	7713175	27.7
	"1-4 years"	"1-4"	"Female"	"F"	"2005"	"2005"	1991	7785123	25.6
	"1-4 years"	"1-4"	"Female"	"F"	"2006"	"2006"	2090	7775092	26.9
	"1-4 years"	"1-4"	"Female"	"F"	"2007"	"2007"	2069	7813088	26.5
	"1-4 years"	"1-4"	"Female"	"F"	"2008"	"2008"	2037	7891294	25.8
	"1-4 years"	"1-4"	"Female"	"F"	"2009"	"2009"	1955	7943260	24.6
	"1-4 years"	"1-4"	"Female"	"F"	"2010"	"2010"	1856	7952058	23.3
	"1-4 years"	"1-4"	"Female"	"F"	"2011"	"2011"	1841	7909731	23.3
	"1-4 years"	"1-4"	"Female"	"F"	"2012"	"2012"	1823	7856870	23.2
	"1-4 years"	"1-4"	"Female"	"F"	"2013"	"2013"	1745	7790614	22.4
	"1-4 years"	"1-4"	"Female"	"F"	"2014"	"2014"	1658	7790662	21.3
	"1-4 years"	"1-4"	"Female"	"F"	"2015"	"2015"	1684	7786776	21.6
	"1-4 years"	"1-4"	"Female"	"F"	"2016"	"2016"	1789	7800517	22.9
	"1-4 years"	"1-4"	"Female"	"F"	"2017"	"2017"	1648	7818747	21.1
	"1-4 years"	"1-4"	"Female"	"F"	"2018"	"2018"	1587	7798370	20.4
	"1-4 years"	"1-4"	"Female"	"F"	"2019"	"2019"	1635	7719541	21.2
	"1-4 years"	"1-4"	"Female"	"F"	"2020 "	"2020"	1503	7613266	19.7
"Total"	"1-4 years"	"1-4"	"Female"	"F"			41875	170430172	24.6
	"1-4 years"	"1-4"	"Male"	"M"	"1999"	"1999"	2975	7846168	37.9
	"1-4 years"	"1-4"	"Male"	"M"	"2000"	"2000"	2824	7861716	35.9
	"1-4 years"	"1-4"	"Male"	"M"	"2001"	"2001"	2899	7817023	37.1
	"1-4 years"	"1-4"	"Male"	"M"	"2002"	"2002"	2806	7913020	35.5
	"1-4 years"	"1-4"	"Male"	"M"	"2003"	"2003"	2826	7979882	35.4
	"1-4 years"	"1-4"	"Male"	"M"	"2004"	"2004"	2649	8058452	32.9
	"1-4 years"	"1-4"	"Male"	"M"	"2005"	"2005"	2765	8127884	34.0
	"1-4 years"	"1-4"	"Male"	"M"	"2006"	"2006"	2541	8122053	31.3
	"1-4 years"	"1-4"	"Male"	"M"	"2007"	"2007"	2634	8164877	32.3
	"1-4 years"	"1-4"	"Male"	"M"	"2008"	"2008"	2693	8247098	32.7
	"1-4 years"	"1-4"	"Male"	"M"	"2009"	"2009"	2495	8297671	30.1
	"1-4 years"	"1-4"	"Male"	"M"	"2010"	"2010"	2460	8305151	29.6
	"1-4 years"	"1-4"	"Male"	"M"	"2011"	"2011"	2405	8255790	29.1
	"1-4 years"	"1-4"	"Male"	"M"	"2012"	"2012"	2395	8199397	29.2
	"1-4 years"	"1-4"	"Male"	"M"	"2013"	"2013"	2323	8135691	28.6
	"1-4 years"	"1-4"	"Male"	"M"	"2014"	"2014"	2172	8137871	26.7
	"1-4 years"	"1-4"	"Male"	"M"	"2015"	"2015"	2281	8142467	28.0
	"1-4 years"	"1-4"	"Male"	"M"	"2016"	"2016"	2256	8156375	27.7
	"1-4 years"	"1-4"	"Male"	"M"	"2017"	"2017"	2232	8180818	27.3
	"1-4 years"	"1-4"	"Male"	"M"	"2018"	"2018"	2243	8163697	27.5
	"1-4 years"	"1-4"	"Male"	"M"	"2019"	"2019"	2041	8074090	25.3
	"1-4 years"	"1-4"	"Male"	"M"	"2020 "	"2020"	2026	7953016	25.5
"Total"	"1-4 years"	"1-4"	"Male"	"M"			54941	178140207	30.8
"Total"	"1-4 years"	"1-4"					96816	348570379	27.8
	"5-9 years"	"5-9"	"Female"	"F"	"1999"	"1999"	1510	10052618	15.0
	"5-9 years"	"5-9"	"Female"	"F"	"2000"	"2000"	1403	10026228	14.0
	"5-9 years"	"5-9"	"Female"	"F"	"2001"	"2001"	1366	9844298	13.9
	"5-9 years"	"5-9"	"Female"	"F"	"2002"	"2002"	1316	9699735	13.6
	"5-9 years"	"5-9"	"Female"	"F"	"2003"	"2003"	1258	9581247	13.1
	"5-9 years"	"5-9"	"Female"	"F"	"2004"	"2004"	1243	9503231	13.1
	"5-9 years"	"5-9"	"Female"	"F"	"2005"	"2005"	1281	9473900	13.5
	"5-9 years"	"5-9"	"Female"	"F"	"2006"	"2006"	1184	9555173	12.4
	"5-9 years"	"5-9"	"Female"	"F"	"2007"	"2007"	1192	9640683	12.4
	"5-9 years"	"5-9"	"Female"	"F"	"2008"	"2008"	1106	9748488	11.3
	"5-9 years"	"5-9"	"Female"	"F"	"2009"	"2009"	1125	9874744	11.4
	"5-9 years"	"5-9"	"Female"	"F"	"2010"	"2010"	1005	9959019	10.1
	"5-9 years"	"5-9"	"Female"	"F"	"2011"	"2011"	1071	9950009	10.8
	"5-9 years"	"5-9"	"Female"	"F"	"2012"	"2012"	1014	10016343	10.1
	"5-9 years"	"5-9"	"Female"	"F"	"2013"	"2013"	1044	10061607	10.4
	"5-9 years"	"5-9"	"Female"	"F"	"2014"	"2014"	1000	10041137	10.0
	"5-9 years"	"5-9"	"Female"	"F"	"2015"	"2015"	1025	10028044	10.2
	"5-9 years"	"5-9"	"Female"	"F"	"2016"	"2016"	1113	9999876	11.1
	"5-9 years"	"5-9"	"Female"	"F"	"2017"	"2017"	1055	9936097	10.6
	"5-9 years"	"5-9"	"Female"	"F"	"2018"	"2018"	1044	9879652	10.6
	"5-9 years"	"5-9"	"Female"	"F"	"2019"	"2019"	1043	9873133	10.6
	"5-9 years"	"5-9"	"Female"	"F"	"2020 "	"2020"	965	9890958	9.8
"Total"	"5-9 years"	"5-9"	"Female"	"F"			25363	216636220	11.7
	"5-9 years"	"5-9"	"Male"	"M"	"1999"	"1999"	1964	10553842	18.6
	"5-9 years"	"5-9"	"Male"	"M"	"2000"	"2000"	1850	10523277	17.6
	"5-9 years"	"5-9"	"Male"	"M"	"2001"	"2001"	1727	10329064	16.7
	"5-9 years"	"5-9"	"Male"	"M"	"2002"	"2002"	1702	10172682	16.7
	"5-9 years"	"5-9"	"Male"	"M"	"2003"	"2003"	1640	10039604	16.3
	"5-9 years"	"5-9"	"Male"	"M"	"2004"	"2004"	1645	9951006	16.5
	"5-9 years"	"5-9"	"Male"	"M"	"2005"	"2005"	1556	9915167	15.7
	"5-9 years"	"5-9"	"Male"	"M"	"2006"	"2006"	1551	9989515	15.5
	"5-9 years"	"5-9"	"Male"	"M"	"2007"	"2007"	1519	10073928	15.1
	"5-9 years"	"5-9"	"Male"	"M"	"2008"	"2008"	1396	10181114	13.7
	"5-9 years"	"5-9"	"Male"	"M"	"2009"	"2009"	1398	10307755	13.6
	"5-9 years"	"5-9"	"Male"	"M"	"2010"	"2010"	1325	10389638	12.8
	"5-9 years"	"5-9"	"Male"	"M"	"2011"	"2011"	1380	10384187	13.3
	"5-9 years"	"5-9"	"Male"	"M"	"2012"	"2012"	1320	10459193	12.6
	"5-9 years"	"5-9"	"Male"	"M"	"2013"	"2013"	1383	10508974	13.2
	"5-9 years"	"5-9"	"Male"	"M"	"2014"	"2014"	1357	10478429	13.0
	"5-9 years"	"5-9"	"Male"	"M"	"2015"	"2015"	1377	10459132	13.2
	"5-9 years"	"5-9"	"Male"	"M"	"2016"	"2016"	1377	10429923	13.2
	"5-9 years"	"5-9"	"Male"	"M"	"2017"	"2017"	1299	10368141	12.5
	"5-9 years"	"5-9"	"Male"	"M"	"2018"	"2018"	1286	10315990	12.5
	"5-9 years"	"5-9"	"Male"	"M"	"2019"	"2019"	1290	10322762	12.5
	"5-9 years"	"5-9"	"Male"	"M"	"2020 "	"2020"	1245	10346753	12.0
"Total"	"5-9 years"	"5-9"	"Male"	"M"			32587	226500076	14.4
"Total"	"5-9 years"	"5-9"					57950	443136296	13.1
	"10-14 years"	"10-14"	"Female"	"F"	"1999"	"1999"	1593	9855664	16.2
	"10-14 years"	"10-14"	"Female"	"F"	"2000"	"2000"	1609	10007875	16.1
	"10-14 years"	"10-14"	"Female"	"F"	"2001"	"2001"	1561	10231469	15.3
	"10-14 years"	"10-14"	"Female"	"F"	"2002"	"2002"	1636	10371422	15.8
	"10-14 years"	"10-14"	"Female"	"F"	"2003"	"2003"	1546	10444875	14.8
	"10-14 years"	"10-14"	"Female"	"F"	"2004"	"2004"	1592	10443706	15.2
	"10-14 years"	"10-14"	"Female"	"F"	"2005"	"2005"	1468	10348382	14.2
	"10-14 years"	"10-14"	"Female"	"F"	"2006"	"2006"	1340	10261944	13.1
	"10-14 years"	"10-14"	"Female"	"F"	"2007"	"2007"	1370	10170082	13.5
	"10-14 years"	"10-14"	"Female"	"F"	"2008"	"2008"	1265	10108474	12.5
	"10-14 years"	"10-14"	"Female"	"F"	"2009"	"2009"	1278	10088732	12.7
	"10-14 years"	"10-14"	"Female"	"F"	"2010"	"2010"	1220	10097332	12.1
	"10-14 years"	"10-14"	"Female"	"F"	"2011"	"2011"	1151	10117822	11.4
	"10-14 years"	"10-14"	"Female"	"F"	"2012"	"2012"	1150	10102004	11.4
