Five-Year Age Groups,Gender,Deaths,Year
< 1 year,Female,231,1999
< 1 year,Female,235,2000
< 1 year,Female,259,2001
< 1 year,Female,276,2002
< 1 year,Female,237,2003
< 1 year,Female,192,2004
< 1 year,Female,222,2005
< 1 year,Female,220,2006
< 1 year,Female,221,2007
< 1 year,Female,223,2008
< 1 year,Female,317,2009
< 1 year,Female,297,2010
< 1 year,Female,245,2011
< 1 year,Female,250,2012
< 1 year,Female,217,2013
< 1 year,Female,254,2014
< 1 year,Female,263,2015
< 1 year,Female,254,2016
< 1 year,Female,220,2017
< 1 year,Female,215,2018
< 1 year,Female,235,2019
< 1 year,Female,162,2020
< 1 year,Male,331,1999
< 1 year,Male,275,2000
< 1 year,Male,304,2001
< 1 year,Male,306,2002
< 1 year,Male,257,2003
< 1 year,Male,288,2004
< 1 year,Male,308,2005
< 1 year,Male,259,2006
< 1 year,Male,261,2007
< 1 year,Male,255,2008
< 1 year,Male,413,2009
< 1 year,Male,399,2010
< 1 year,Male,316,2011
< 1 year,Male,314,2012
< 1 year,Male,299,2013
< 1 year,Male,293,2014
< 1 year,Male,300,2015
< 1 year,Male,310,2016
< 1 year,Male,295,2017
< 1 year,Male,289,2018
< 1 year,Male,284,2019
< 1 year,Male,233,2020
1-4 years,Female,93,1999
1-4 years,Female,102,2000
1-4 years,Female,98,2001
1-4 years,Female,71,2002
1-4 years,Female,82,2003
1-4 years,Female,93,2004
1-4 years,Female,78,2005
1-4 years,Female,83,2006
1-4 years,Female,77,2007
1-4 years,Female,88,2008
1-4 years,Female,73,2009
1-4 years,Female,75,2010
1-4 years,Female,79,2011
1-4 years,Female,85,2012
1-4 years,Female,76,2013
1-4 years,Female,83,2014
1-4 years,Female,87,2015
1-4 years,Female,96,2016
1-4 years,Female,59,2017
1-4 years,Female,85,2018
1-4 years,Female,107,2019
1-4 years,Female,60,2020
1-4 years,Male,143,1999
1-4 years,Male,120,2000
1-4 years,Male,127,2001
1-4 years,Male,99,2002
1-4 years,Male,115,2003
1-4 years,Male,94,2004
1-4 years,Male,102,2005
1-4 years,Male,103,2006
1-4 years,Male,90,2007
1-4 years,Male,94,2008
1-4 years,Male,98,2009
1-4 years,Male,88,2010
1-4 years,Male,71,2011
1-4 years,Male,102,2012
1-4 years,Male,81,2013
1-4 years,Male,73,2014
1-4 years,Male,84,2015
1-4 years,Male,101,2016
1-4 years,Male,92,2017
1-4 years,Male,89,2018
1-4 years,Male,107,2019
1-4 years,Male,75,2020
5-9 years,Female,71,1999
5-9 years,Female,44,2000
5-9 years,Female,45,2001
5-9 years,Female,42,2002
5-9 years,Female,52,2003
5-9 years,Female,36,2004
5-9 years,Female,39,2005
5-9 years,Female,33,2006
5-9 years,Female,26,2007
5-9 years,Female,20,2008
5-9 years,Female,34,2009
5-9 years,Female,37,2010
5-9 years,Female,49,2011
5-9 years,Female,24,2012
5-9 years,Female,31,2013
5-9 years,Female,37,2014
5-9 years,Female,36,2015
5-9 years,Female,52,2016
5-9 years,Female,31,2017
5-9 years,Female,38,2018
5-9 years,Female,53,2019
5-9 years,Female,32,2020
5-9 years,Male,72,1999
5-9 years,Male,55,2000
5-9 years,Male,53,2001
5-9 years,Male,52,2002
5-9 years,Male,38,2003
5-9 years,Male,41,2004
5-9 years,Male,45,2005
5-9 years,Male,49,2006
5-9 years,Male,48,2007
5-9 years,Male,36,2008
5-9 years,Male,36,2009
5-9 years,Male,37,2010
5-9 years,Male,38,2011
5-9 years,Male,38,2012
5-9 years,Male,39,2013
5-9 years,Male,44,2014
5-9 years,Male,40,2015
5-9 years,Male,55,2016
5-9 years,Male,40,2017
5-9 years,Male,39,2018
5-9 years,Male,45,2019
5-9 years,Male,34,2020
10-14 years,Female,49,1999
10-14 years,Female,50,2000
10-14 years,Female,49,2001
10-14 years,Female,66,2002
10-14 years,Female,48,2003
10-14 years,Female,41,2004
10-14 years,Female,44,2005
10-14 years,Female,45,2006
10-14 years,Female,34,2007
10-14 years,Female,31,2008
10-14 years,Female,44,2009
10-14 years,Female,28,2010
10-14 years,Female,31,2011
10-14 years,Female,24,2012
10-14 years,Female,20,2013
10-14 years,Female,30,2014
10-14 years,Female,33,2015
10-14 years,Female,33,2016
10-14 years,Female,25,2017
10-14 years,Female,27,2018
10-14 years,Female,31,2019
10-14 years,Female,16,2020
10-14 years,Male,65,1999
