Five-Year Age Groups,Gender,Deaths,Year
< 1 year,Female,60,1999
< 1 year,Female,70,2000
< 1 year,Female,60,2001
< 1 year,Female,71,2002
< 1 year,Female,71,2003
< 1 year,Female,73,2004
< 1 year,Female,67,2005
< 1 year,Female,69,2006
< 1 year,Female,68,2007
< 1 year,Female,57,2008
< 1 year,Female,62,2009
< 1 year,Female,54,2010
< 1 year,Female,50,2011
< 1 year,Female,52,2012
< 1 year,Female,57,2013
< 1 year,Female,62,2014
< 1 year,Female,48,2015
< 1 year,Female,58,2016
< 1 year,Female,55,2017
< 1 year,Female,49,2018
< 1 year,Female,48,2019
< 1 year,Female,47,2020
< 1 year,Male,66,1999
< 1 year,Male,82,2000
< 1 year,Male,57,2001
< 1 year,Male,72,2002
< 1 year,Male,66,2003
< 1 year,Male,72,2004
< 1 year,Male,67,2005
< 1 year,Male,72,2006
< 1 year,Male,63,2007
< 1 year,Male,74,2008
< 1 year,Male,74,2009
< 1 year,Male,56,2010
< 1 year,Male,74,2011
< 1 year,Male,65,2012
< 1 year,Male,59,2013
< 1 year,Male,41,2014
< 1 year,Male,52,2015
< 1 year,Male,62,2016
< 1 year,Male,43,2017
< 1 year,Male,43,2018
< 1 year,Male,49,2019
< 1 year,Male,46,2020
1-4 years,Female,221,1999
1-4 years,Female,207,2000
1-4 years,Female,219,2001
1-4 years,Female,216,2002
1-4 years,Female,185,2003
1-4 years,Female,212,2004
1-4 years,Female,181,2005
1-4 years,Female,206,2006
1-4 years,Female,204,2007
1-4 years,Female,201,2008
1-4 years,Female,193,2009
1-4 years,Female,176,2010
1-4 years,Female,189,2011
1-4 years,Female,209,2012
1-4 years,Female,173,2013
1-4 years,Female,158,2014
1-4 years,Female,175,2015
1-4 years,Female,197,2016
1-4 years,Female,166,2017
1-4 years,Female,161,2018
1-4 years,Female,155,2019
1-4 years,Female,168,2020
1-4 years,Male,260,1999
1-4 years,Male,266,2000
1-4 years,Male,259,2001
1-4 years,Male,246,2002
1-4 years,Male,258,2003
1-4 years,Male,240,2004
1-4 years,Male,248,2005
1-4 years,Male,231,2006
1-4 years,Male,219,2007
1-4 years,Male,239,2008
1-4 years,Male,210,2009
1-4 years,Male,229,2010
1-4 years,Male,209,2011
1-4 years,Male,238,2012
1-4 years,Male,202,2013
1-4 years,Male,201,2014
1-4 years,Male,213,2015
1-4 years,Male,229,2016
1-4 years,Male,203,2017
1-4 years,Male,204,2018
1-4 years,Male,179,2019
1-4 years,Male,174,2020
5-9 years,Female,264,1999
5-9 years,Female,250,2000
5-9 years,Female,266,2001
5-9 years,Female,262,2002
5-9 years,Female,240,2003
5-9 years,Female,244,2004
5-9 years,Female,243,2005
5-9 years,Female,215,2006
5-9 years,Female,245,2007
5-9 years,Female,259,2008
5-9 years,Female,229,2009
5-9 years,Female,220,2010
5-9 years,Female,218,2011
5-9 years,Female,210,2012
5-9 years,Female,216,2013
5-9 years,Female,215,2014
5-9 years,Female,216,2015
5-9 years,Female,206,2016
5-9 years,Female,234,2017
5-9 years,Female,200,2018
5-9 years,Female,197,2019
5-9 years,Female,190,2020
5-9 years,Male,309,1999
5-9 years,Male,301,2000
5-9 years,Male,279,2001
5-9 years,Male,319,2002
5-9 years,Male,314,2003
5-9 years,Male,323,2004
5-9 years,Male,282,2005
5-9 years,Male,282,2006
5-9 years,Male,276,2007
5-9 years,Male,257,2008
5-9 years,Male,288,2009
5-9 years,Male,256,2010
5-9 years,Male,263,2011
5-9 years,Male,277,2012
5-9 years,Male,265,2013
5-9 years,Male,257,2014
5-9 years,Male,260,2015
5-9 years,Male,274,2016
5-9 years,Male,215,2017
5-9 years,Male,212,2018
5-9 years,Male,205,2019
5-9 years,Male,220,2020
10-14 years,Female,245,1999
10-14 years,Female,245,2000
10-14 years,Female,262,2001
10-14 years,Female,250,2002
10-14 years,Female,281,2003
10-14 years,Female,241,2004
10-14 years,Female,240,2005
10-14 years,Female,220,2006
10-14 years,Female,252,2007
10-14 years,Female,220,2008
10-14 years,Female,213,2009
