Five-Year Age Groups,Gender,Deaths,Year
< 1 year,Female,5,1999
< 1 year,Female,1,2000
< 1 year,Female,1,2001
< 1 year,Female,4,2002
< 1 year,Female,7,2003
< 1 year,Female,6,2005
< 1 year,Female,9,2008
< 1 year,Female,2,2010
< 1 year,Female,5,2011
< 1 year,Female,2,2012
< 1 year,Female,4,2013
< 1 year,Female,2,2014
< 1 year,Female,1,2015
< 1 year,Female,3,2016
< 1 year,Female,6,2017
< 1 year,Female,6,2018
< 1 year,Female,5,2019
< 1 year,Male,5,1999
< 1 year,Male,7,2000
< 1 year,Male,6,2001
< 1 year,Male,7,2002
< 1 year,Male,7,2004
< 1 year,Male,9,2005
< 1 year,Male,6,2008
< 1 year,Male,7,2016
< 1 year,Male,3,2017
< 1 year,Male,4,2019
< 1 year,Male,4,2020
1-4 years,Female,8,1999
1-4 years,Female,1,2000
1-4 years,Female,5,2001
1-4 years,Female,7,2002
1-4 years,Female,7,2003
1-4 years,Female,7,2004
1-4 years,Female,1,2005
1-4 years,Female,1,2006
1-4 years,Female,7,2007
1-4 years,Female,5,2008
1-4 years,Female,9,2009
1-4 years,Female,4,2010
1-4 years,Female,6,2011
1-4 years,Female,9,2012
1-4 years,Female,7,2013
1-4 years,Female,9,2014
1-4 years,Female,3,2015
1-4 years,Female,4,2017
1-4 years,Female,4,2018
1-4 years,Female,3,2019
1-4 years,Male,5,1999
1-4 years,Male,1,2000
1-4 years,Male,1,2001
1-4 years,Male,9,2002
1-4 years,Male,6,2003
1-4 years,Male,2,2004
1-4 years,Male,2,2005
1-4 years,Male,6,2006
1-4 years,Male,6,2007
1-4 years,Male,6,2008
1-4 years,Male,5,2009
1-4 years,Male,6,2010
1-4 years,Male,6,2011
1-4 years,Male,9,2013
1-4 years,Male,1,2014
1-4 years,Male,2,2015
1-4 years,Male,4,2016
1-4 years,Male,3,2017
1-4 years,Male,8,2018
1-4 years,Male,2,2019
1-4 years,Male,6,2020
5-9 years,Female,6,1999
5-9 years,Female,6,2000
5-9 years,Female,2,2001
5-9 years,Female,8,2002
5-9 years,Female,3,2003
5-9 years,Female,5,2004
5-9 years,Female,6,2005
5-9 years,Female,10,2006
5-9 years,Female,2,2007
5-9 years,Female,5,2008
5-9 years,Female,4,2009
5-9 years,Female,4,2010
5-9 years,Female,6,2011
5-9 years,Female,2,2012
5-9 years,Female,5,2013
5-9 years,Female,7,2014
5-9 years,Female,2,2015
5-9 years,Female,5,2016
5-9 years,Female,9,2017
5-9 years,Female,5,2018
5-9 years,Female,5,2019
5-9 years,Female,6,2020
5-9 years,Male,5,1999
5-9 years,Male,2,2000
5-9 years,Male,3,2001
5-9 years,Male,1,2002
5-9 years,Male,8,2003
5-9 years,Male,9,2004
5-9 years,Male,2,2005
5-9 years,Male,7,2006
5-9 years,Male,7,2007
5-9 years,Male,9,2008
5-9 years,Male,6,2009
5-9 years,Male,2,2010
5-9 years,Male,4,2011
5-9 years,Male,7,2012
5-9 years,Male,5,2013
5-9 years,Male,3,2014
5-9 years,Male,6,2015
5-9 years,Male,7,2016
5-9 years,Male,2,2017
5-9 years,Male,8,2018
5-9 years,Male,7,2019
5-9 years,Male,5,2020
10-14 years,Female,10,1999
10-14 years,Female,10,2000
10-14 years,Female,11,2001
10-14 years,Female,10,2002
10-14 years,Female,10,2003
10-14 years,Female,10,2004
10-14 years,Female,12,2005
10-14 years,Female,9,2006
10-14 years,Female,4,2007
10-14 years,Female,2,2008
10-14 years,Female,10,2009
10-14 years,Female,12,2010
10-14 years,Female,9,2011
10-14 years,Female,6,2012
10-14 years,Female,7,2013
10-14 years,Female,18,2014
10-14 years,Female,5,2015
10-14 years,Female,9,2016
10-14 years,Female,6,2017
10-14 years,Female,1,2018
10-14 years,Female,10,2019
10-14 years,Female,8,2020
10-14 years,Male,14,1999
10-14 years,Male,6,2000
10-14 years,Male,5,2001
10-14 years,Male,12,2002
10-14 years,Male,7,2003
10-14 years,Male,14,2004
10-14 years,Male,6,2005
10-14 years,Male,7,2006
10-14 years,Male,13,2007
10-14 years,Male,9,2008
10-14 years,Male,5,2009
10-14 years,Male,4,2010
10-14 years,Male,2,2011
10-14 years,Male,4,2012
10-14 years,Male,8,2013
10-14 years,Male,7,2014
10-14 years,Male,6,2015
10-14 years,Male,8,2016
10-14 years,Male,7,2017
10-14 years,Male,3,2018
10-14 years,Male,3,2019
10-14 years,Male,3,2020
15-19 years,Female,15,1999
15-19 years,Female,26,2000
15-19 years,Female,27,2001
15-19 years,Female,24,2002
15-19 years,Female,34,2003
15-19 years,Female,36,2004
15-19 years,Female,21,2005
15-19 years,Female,22,2006
15-19 years,Female,20,2007
15-19 years,Female,20,2008
15-19 years,Female,13,2009
15-19 years,Female,19,2010
15-19 years,Female,16,2011
15-19 years,Female,11,2012
15-19 years,Female,19,2013
15-19 years,Female,18,2014
15-19 years,Female,18,2015
15-19 years,Female,12,2016
15-19 years,Female,22,2017
15-19 years,Female,22,2018
15-19 years,Female,10,2019
15-19 years,Female,10,2020
15-19 years,Male,56,1999
15-19 years,Male,53,2000
15-19 years,Male,52,2001
15-19 years,Male,46,2002
15-19 years,Male,48,2003
15-19 years,Male,54,2004
15-19 years,Male,70,2005
15-19 years,Male,69,2006
15-19 years,Male,42,2007
15-19 years,Male,34,2008
15-19 years,Male,20,2009
15-19 years,Male,24,2010
15-19 years,Male,20,2011
15-19 years,Male,25,2012
15-19 years,Male,21,2013
15-19 years,Male,23,2014
15-19 years,Male,25,2015
15-19 years,Male,28,2016
15-19 years,Male,20,2017
15-19 years,Male,12,2018
15-19 years,Male,19,2019
15-19 years,Male,25,2020
20-24 years,Female,41,1999
20-24 years,Female,46,2000
20-24 years,Female,32,2001
20-24 years,Female,49,2002
20-24 years,Female,49,2003
20-24 years,Female,67,2004
20-24 years,Female,71,2005
20-24 years,Female,72,2006
20-24 years,Female,49,2007
20-24 years,Female,40,2008
20-24 years,Female,49,2009
20-24 years,Female,45,2010
20-24 years,Female,59,2011
20-24 years,Female,72,2012
20-24 years,Female,59,2013
20-24 years,Female,57,2014
20-24 years,Female,68,2015
20-24 years,Female,88,2016
20-24 years,Female,81,2017
20-24 years,Female,66,2018
20-24 years,Female,63,2019
20-24 years,Female,56,2020
20-24 years,Male,106,1999
20-24 years,Male,129,2000
20-24 years,Male,121,2001
20-24 years,Male,119,2002
20-24 years,Male,150,2003
20-24 years,Male,148,2004
20-24 years,Male,171,2005
20-24 years,Male,171,2006
20-24 years,Male,101,2007
20-24 years,Male,87,2008
20-24 years,Male,94,2009
20-24 years,Male,89,2010
20-24 years,Male,112,2011
20-24 years,Male,113,2012
20-24 years,Male,105,2013
20-24 years,Male,98,2014
20-24 years,Male,135,2015
20-24 years,Male,128,2016
20-24 years,Male,97,2017
20-24 years,Male,82,2018
20-24 years,Male,85,2019
20-24 years,Male,114,2020
25-29 years,Female,61,1999
25-29 years,Female,68,2000
25-29 years,Female,70,2001
25-29 years,Female,63,2002
25-29 years,Female,69,2003
25-29 years,Female,76,2004
25-29 years,Female,83,2005
25-29 years,Female,98,2006
25-29 years,Female,86,2007
25-29 years,Female,72,2008
25-29 years,Female,69,2009
25-29 years,Female,92,2010
25-29 years,Female,70,2011
25-29 years,Female,114,2012
25-29 years,Female,104,2013
25-29 years,Female,122,2014
25-29 years,Female,164,2015
25-29 years,Female,176,2016
25-29 years,Female,199,2017
25-29 years,Female,198,2018
25-29 years,Female,165,2019
25-29 years,Female,207,2020
25-29 years,Male,199,1999
25-29 years,Male,188,2000
25-29 years,Male,198,2001
25-29 years,Male,176,2002
25-29 years,Male,223,2003
25-29 years,Male,240,2004
25-29 years,Male,239,2005
25-29 years,Male,260,2006
25-29 years,Male,178,2007
25-29 years,Male,150,2008
25-29 years,Male,132,2009
25-29 years,Male,154,2010
25-29 years,Male,170,2011
25-29 years,Male,180,2012
25-29 years,Male,167,2013
25-29 years,Male,207,2014
25-29 years,Male,225,2015
25-29 years,Male,289,2016
25-29 years,Male,277,2017
25-29 years,Male,257,2018
25-29 years,Male,257,2019
25-29 years,Male,353,2020
30-34 years,Female,141,1999
30-34 years,Female,132,2000
30-34 years,Female,122,2001
30-34 years,Female,139,2002
30-34 years,Female,128,2003
30-34 years,Female,127,2004
30-34 years,Female,109,2005
30-34 years,Female,126,2006
30-34 years,Female,93,2007
30-34 years,Female,82,2008
30-34 years,Female,79,2009
30-34 years,Female,105,2010
30-34 years,Female,103,2011
30-34 years,Female,129,2012
30-34 years,Female,157,2013
30-34 years,Female,152,2014
30-34 years,Female,197,2015
30-34 years,Female,258,2016
30-34 years,Female,263,2017
30-34 years,Female,293,2018
30-34 years,Female,319,2019
30-34 years,Female,386,2020
30-34 years,Male,337,1999
30-34 years,Male,339,2000
30-34 years,Male,332,2001
30-34 years,Male,281,2002
30-34 years,Male,303,2003
30-34 years,Male,311,2004
30-34 years,Male,285,2005
30-34 years,Male,328,2006
30-34 years,Male,206,2007
30-34 years,Male,179,2008
30-34 years,Male,187,2009
30-34 years,Male,224,2010
30-34 years,Male,226,2011
30-34 years,Male,241,2012
30-34 years,Male,258,2013
30-34 years,Male,327,2014
30-34 years,Male,339,2015
30-34 years,Male,401,2016
30-34 years,Male,419,2017
30-34 years,Male,464,2018
30-34 years,Male,483,2019
30-34 years,Male,711,2020
35-39 years,Female,247,1999
35-39 years,Female,204,2000
35-39 years,Female,241,2001
35-39 years,Female,262,2002
35-39 years,Female,248,2003
35-39 years,Female,219,2004
35-39 years,Female,231,2005
35-39 years,Female,249,2006
35-39 years,Female,136,2007
35-39 years,Female,166,2008
35-39 years,Female,164,2009
35-39 years,Female,138,2010
35-39 years,Female,121,2011
35-39 years,Female,167,2012
35-39 years,Female,159,2013
35-39 years,Female,183,2014
35-39 years,Female,245,2015
35-39 years,Female,236,2016
35-39 years,Female,264,2017
35-39 years,Female,304,2018
35-39 years,Female,344,2019
35-39 years,Female,423,2020
35-39 years,Male,688,1999
35-39 years,Male,676,2000
35-39 years,Male,582,2001
35-39 years,Male,611,2002
35-39 years,Male,606,2003
35-39 years,Male,577,2004
35-39 years,Male,512,2005
35-39 years,Male,482,2006
35-39 years,Male,365,2007
35-39 years,Male,335,2008
35-39 years,Male,292,2009
35-39 years,Male,291,2010
35-39 years,Male,314,2011
35-39 years,Male,259,2012
35-39 years,Male,353,2013
35-39 years,Male,386,2014
35-39 years,Male,438,2015
35-39 years,Male,522,2016
35-39 years,Male,568,2017
35-39 years,Male,612,2018
35-39 years,Male,700,2019
35-39 years,Male,939,2020
40-44 years,Female,314,1999
40-44 years,Female,365,2000
40-44 years,Female,381,2001
40-44 years,Female,422,2002
40-44 years,Female,401,2003
40-44 years,Female,376,2004
40-44 years,Female,384,2005
40-44 years,Female,417,2006
40-44 years,Female,321,2007
40-44 years,Female,297,2008
40-44 years,Female,232,2009
40-44 years,Female,229,2010
40-44 years,Female,234,2011
40-44 years,Female,251,2012
40-44 years,Female,246,2013
40-44 years,Female,253,2014
40-44 years,Female,256,2015
40-44 years,Female,291,2016
40-44 years,Female,304,2017
40-44 years,Female,325,2018
40-44 years,Female,364,2019
40-44 years,Female,447,2020
40-44 years,Male,1038,1999
40-44 years,Male,946,2000
40-44 years,Male,987,2001
40-44 years,Male,1066,2002
40-44 years,Male,1045,2003
40-44 years,Male,1014,2004
40-44 years,Male,1071,2005
40-44 years,Male,1049,2006
40-44 years,Male,648,2007
40-44 years,Male,590,2008
40-44 years,Male,525,2009
40-44 years,Male,543,2010
40-44 years,Male,581,2011
40-44 years,Male,543,2012
40-44 years,Male,542,2013
40-44 years,Male,567,2014
40-44 years,Male,525,2015
40-44 years,Male,599,2016
40-44 years,Male,624,2017
40-44 years,Male,668,2018
40-44 years,Male,795,2019
40-44 years,Male,1093,2020
45-49 years,Female,344,1999
45-49 years,Female,361,2000
45-49 years,Female,403,2001
45-49 years,Female,433,2002
45-49 years,Female,468,2003
45-49 years,Female,546,2004
45-49 years,Female,557,2005
45-49 years,Female,586,2006
45-49 years,Female,459,2007
45-49 years,Female,414,2008
45-49 years,Female,405,2009
45-49 years,Female,409,2010
45-49 years,Female,449,2011
45-49 years,Female,418,2012
45-49 years,Female,393,2013
45-49 years,Female,410,2014
45-49 years,Female,436,2015
45-49 years,Female,426,2016
45-49 years,Female,486,2017
45-49 years,Female,486,2018
45-49 years,Female,457,2019
45-49 years,Female,519,2020
45-49 years,Male,1113,1999
45-49 years,Male,1146,2000
45-49 years,Male,1248,2001
45-49 years,Male,1256,2002
45-49 years,Male,1360,2003
45-49 years,Male,1367,2004
45-49 years,Male,1400,2005
45-49 years,Male,1407,2006
45-49 years,Male,1075,2007
45-49 years,Male,954,2008
45-49 years,Male,930,2009
45-49 years,Male,978,2010
45-49 years,Male,928,2011
45-49 years,Male,841,2012
45-49 years,Male,842,2013
45-49 years,Male,867,2014
45-49 years,Male,906,2015
45-49 years,Male,984,2016
45-49 years,Male,1045,2017
45-49 years,Male,1091,2018
45-49 years,Male,1069,2019
45-49 years,Male,1370,2020
50-54 years,Female,239,1999
50-54 years,Female,275,2000
50-54 years,Female,313,2001
50-54 years,Female,318,2002
50-54 years,Female,396,2003
50-54 years,Female,431,2004
50-54 years,Female,501,2005
50-54 years,Female,566,2006
50-54 years,Female,416,2007
50-54 years,Female,524,2008
50-54 years,Female,522,2009
50-54 years,Female,515,2010
50-54 years,Female,558,2011
50-54 years,Female,580,2012
50-54 years,Female,584,2013
50-54 years,Female,632,2014
50-54 years,Female,619,2015
50-54 years,Female,628,2016
50-54 years,Female,650,2017
50-54 years,Female,611,2018
50-54 years,Female,604,2019
50-54 years,Female,727,2020
50-54 years,Male,918,1999
50-54 years,Male,982,2000
50-54 years,Male,1106,2001
50-54 years,Male,1235,2002
50-54 years,Male,1308,2003
50-54 years,Male,1421,2004
50-54 years,Male,1518,2005
50-54 years,Male,1603,2006
50-54 years,Male,1245,2007
50-54 years,Male,1269,2008
50-54 years,Male,1227,2009
50-54 years,Male,1303,2010
50-54 years,Male,1335,2011
50-54 years,Male,1350,2012
50-54 years,Male,1406,2013
50-54 years,Male,1386,2014
50-54 years,Male,1446,2015
50-54 years,Male,1488,2016
50-54 years,Male,1552,2017
50-54 years,Male,1434,2018
50-54 years,Male,1447,2019
50-54 years,Male,1908,2020
55-59 years,Female,221,1999
55-59 years,Female,275,2000
55-59 years,Female,287,2001
55-59 years,Female,311,2002
55-59 years,Female,332,2003
55-59 years,Female,367,2004
55-59 years,Female,439,2005
55-59 years,Female,510,2006
55-59 years,Female,455,2007
55-59 years,Female,468,2008
55-59 years,Female,492,2009
55-59 years,Female,522,2010
55-59 years,Female,585,2011
55-59 years,Female,629,2012
55-59 years,Female,737,2013
