Five-Year Age Groups,Gender,Deaths,Year
< 1 year,Female,203,1999
< 1 year,Female,164,2000
< 1 year,Female,153,2001
< 1 year,Female,154,2002
< 1 year,Female,176,2003
< 1 year,Female,159,2004
< 1 year,Female,138,2005
< 1 year,Female,163,2006
< 1 year,Female,194,2007
< 1 year,Female,192,2008
< 1 year,Female,149,2009
< 1 year,Female,159,2010
< 1 year,Female,129,2011
< 1 year,Female,140,2012
< 1 year,Female,138,2013
< 1 year,Female,116,2014
< 1 year,Female,154,2015
< 1 year,Female,128,2016
< 1 year,Female,125,2017
< 1 year,Female,113,2018
< 1 year,Female,110,2019
< 1 year,Female,111,2020
< 1 year,Male,238,1999
< 1 year,Male,225,2000
< 1 year,Male,207,2001
< 1 year,Male,228,2002
< 1 year,Male,224,2003
< 1 year,Male,218,2004
< 1 year,Male,216,2005
< 1 year,Male,210,2006
< 1 year,Male,219,2007
< 1 year,Male,223,2008
< 1 year,Male,205,2009
< 1 year,Male,186,2010
< 1 year,Male,189,2011
< 1 year,Male,181,2012
< 1 year,Male,196,2013
< 1 year,Male,181,2014
< 1 year,Male,165,2015
< 1 year,Male,165,2016
< 1 year,Male,127,2017
< 1 year,Male,152,2018
< 1 year,Male,115,2019
< 1 year,Male,136,2020
1-4 years,Female,160,1999
1-4 years,Female,147,2000
1-4 years,Female,141,2001
1-4 years,Female,130,2002
1-4 years,Female,136,2003
1-4 years,Female,158,2004
1-4 years,Female,126,2005
1-4 years,Female,116,2006
1-4 years,Female,117,2007
1-4 years,Female,118,2008
1-4 years,Female,135,2009
1-4 years,Female,103,2010
1-4 years,Female,106,2011
1-4 years,Female,108,2012
1-4 years,Female,111,2013
1-4 years,Female,102,2014
1-4 years,Female,124,2015
1-4 years,Female,106,2016
1-4 years,Female,88,2017
1-4 years,Female,89,2018
1-4 years,Female,87,2019
1-4 years,Female,77,2020
1-4 years,Male,201,1999
1-4 years,Male,169,2000
1-4 years,Male,174,2001
1-4 years,Male,192,2002
1-4 years,Male,144,2003
1-4 years,Male,164,2004
1-4 years,Male,168,2005
1-4 years,Male,143,2006
1-4 years,Male,146,2007
1-4 years,Male,156,2008
1-4 years,Male,141,2009
1-4 years,Male,151,2010
1-4 years,Male,133,2011
1-4 years,Male,121,2012
1-4 years,Male,114,2013
1-4 years,Male,110,2014
1-4 years,Male,127,2015
1-4 years,Male,111,2016
1-4 years,Male,122,2017
1-4 years,Male,128,2018
1-4 years,Male,116,2019
1-4 years,Male,101,2020
5-9 years,Female,116,1999
5-9 years,Female,115,2000
5-9 years,Female,118,2001
5-9 years,Female,96,2002
5-9 years,Female,109,2003
5-9 years,Female,99,2004
5-9 years,Female,98,2005
5-9 years,Female,85,2006
5-9 years,Female,99,2007
5-9 years,Female,87,2008
5-9 years,Female,87,2009
5-9 years,Female,88,2010
5-9 years,Female,86,2011
5-9 years,Female,91,2012
5-9 years,Female,97,2013
5-9 years,Female,69,2014
5-9 years,Female,73,2015
5-9 years,Female,97,2016
5-9 years,Female,86,2017
5-9 years,Female,82,2018
5-9 years,Female,82,2019
5-9 years,Female,79,2020
5-9 years,Male,147,1999
5-9 years,Male,112,2000
5-9 years,Male,111,2001
5-9 years,Male,126,2002
5-9 years,Male,142,2003
5-9 years,Male,122,2004
5-9 years,Male,122,2005
5-9 years,Male,117,2006
5-9 years,Male,119,2007
5-9 years,Male,105,2008
5-9 years,Male,113,2009
5-9 years,Male,107,2010
5-9 years,Male,98,2011
5-9 years,Male,114,2012
5-9 years,Male,131,2013
5-9 years,Male,119,2014
5-9 years,Male,121,2015
5-9 years,Male,95,2016
5-9 years,Male,110,2017
5-9 years,Male,109,2018
5-9 years,Male,96,2019
5-9 years,Male,96,2020
10-14 years,Female,110,1999
10-14 years,Female,122,2000
10-14 years,Female,110,2001
10-14 years,Female,116,2002
10-14 years,Female,117,2003
10-14 years,Female,122,2004
10-14 years,Female,119,2005
10-14 years,Female,108,2006
10-14 years,Female,113,2007
10-14 years,Female,119,2008
10-14 years,Female,117,2009
10-14 years,Female,100,2010
10-14 years,Female,92,2011
10-14 years,Female,90,2012
10-14 years,Female,105,2013
10-14 years,Female,88,2014
10-14 years,Female,115,2015
10-14 years,Female,108,2016
10-14 years,Female,100,2017
10-14 years,Female,123,2018
10-14 years,Female,121,2019
10-14 years,Female,102,2020
10-14 years,Male,143,1999
10-14 years,Male,169,2000
10-14 years,Male,153,2001
10-14 years,Male,161,2002
10-14 years,Male,179,2003
10-14 years,Male,183,2004
10-14 years,Male,154,2005
10-14 years,Male,157,2006
10-14 years,Male,190,2007
10-14 years,Male,151,2008
10-14 years,Male,130,2009
10-14 years,Male,131,2010
10-14 years,Male,155,2011
10-14 years,Male,127,2012
10-14 years,Male,133,2013
10-14 years,Male,122,2014
10-14 years,Male,175,2015
10-14 years,Male,139,2016
10-14 years,Male,159,2017
10-14 years,Male,143,2018
10-14 years,Male,136,2019
10-14 years,Male,153,2020
