Five-Year Age Groups,Gender,Deaths,Year
< 1 year,Female,6,2002
< 1 year,Female,7,2005
< 1 year,Female,4,2006
< 1 year,Female,5,2008
< 1 year,Female,6,2013
< 1 year,Female,4,2019
< 1 year,Male,8,2001
< 1 year,Male,6,2002
< 1 year,Male,4,2003
< 1 year,Male,3,2004
< 1 year,Male,4,2005
< 1 year,Male,9,2006
< 1 year,Male,9,2010
< 1 year,Male,7,2013
1-4 years,Female,8,2002
1-4 years,Female,5,2004
1-4 years,Female,9,2013
1-4 years,Female,4,2019
1-4 years,Male,6,2000
1-4 years,Male,1,2004
1-4 years,Male,7,2015
5-9 years,Female,4,2000
5-9 years,Female,1,2017
5-9 years,Male,5,2002
5-9 years,Male,5,2003
5-9 years,Male,5,2004
5-9 years,Male,2,2018
10-14 years,Female,9,2001
10-14 years,Female,4,2008
10-14 years,Female,1,2012
10-14 years,Female,8,2018
10-14 years,Male,7,2002
10-14 years,Male,1,2005
10-14 years,Male,9,2007
10-14 years,Male,9,2019
15-19 years,Female,3,2000
15-19 years,Female,4,2001
15-19 years,Female,3,2002
15-19 years,Female,2,2006
15-19 years,Female,5,2008
15-19 years,Female,5,2010
15-19 years,Female,3,2012
15-19 years,Female,2,2016
15-19 years,Female,2,2017
15-19 years,Male,9,2000
15-19 years,Male,3,2003
15-19 years,Male,1,2005
15-19 years,Male,1,2008
15-19 years,Male,1,2012
15-19 years,Male,2,2016
20-24 years,Female,2,2000
20-24 years,Female,2,2001
20-24 years,Female,4,2007
20-24 years,Female,9,2008
20-24 years,Female,4,2012
20-24 years,Male,6,2000
20-24 years,Male,3,2008
20-24 years,Male,5,2010
20-24 years,Male,5,2012
20-24 years,Male,6,2014
20-24 years,Male,3,2017
20-24 years,Male,8,2019
25-29 years,Female,7,2000
25-29 years,Female,2,2007
25-29 years,Female,6,2011
25-29 years,Female,7,2012
25-29 years,Female,4,2017
25-29 years,Female,8,2019
25-29 years,Male,2,2003
25-29 years,Male,9,2006
25-29 years,Male,3,2007
25-29 years,Male,4,2008
25-29 years,Male,3,2012
25-29 years,Male,7,2015
25-29 years,Male,9,2017
25-29 years,Male,7,2018
25-29 years,Male,8,2019
30-34 years,Female,1,2003
30-34 years,Female,1,2015
30-34 years,Male,3,2009
30-34 years,Male,6,2010
30-34 years,Male,8,2013
30-34 years,Male,7,2018
30-34 years,Male,8,2020
35-39 years,Female,9,1999
35-39 years,Female,8,2001
35-39 years,Female,3,2006
35-39 years,Female,2,2010
35-39 years,Female,3,2011
35-39 years,Male,2,2006
35-39 years,Male,6,2011
35-39 years,Male,5,2013
35-39 years,Male,4,2016
40-44 years,Female,2,1999
40-44 years,Female,9,2008
40-44 years,Female,5,2011
40-44 years,Female,7,2012
40-44 years,Female,2,2013
40-44 years,Female,1,2016
40-44 years,Male,1,1999
40-44 years,Male,2,2004
40-44 years,Male,9,2008
40-44 years,Male,3,2009
40-44 years,Male,6,2010
40-44 years,Male,8,2012
40-44 years,Male,7,2013
40-44 years,Male,1,2015
40-44 years,Male,8,2017
40-44 years,Male,3,2018
40-44 years,Male,7,2019
45-49 years,Female,2,1999
45-49 years,Female,7,2000
45-49 years,Female,9,2002
45-49 years,Female,8,2005
45-49 years,Female,5,2006
45-49 years,Female,6,2010
45-49 years,Female,5,2012
45-49 years,Female,3,2013
45-49 years,Female,9,2019
45-49 years,Male,1,2000
45-49 years,Male,4,2001
45-49 years,Male,9,2002
45-49 years,Male,5,2003
45-49 years,Male,1,2004
45-49 years,Male,4,2005
45-49 years,Male,7,2006
45-49 years,Male,3,2007
45-49 years,Male,2,2009
45-49 years,Male,5,2010
45-49 years,Male,8,2011
45-49 years,Male,2,2012
45-49 years,Male,4,2013
45-49 years,Male,8,2015
45-49 years,Male,4,2019
50-54 years,Female,5,1999
50-54 years,Female,9,2000
50-54 years,Female,8,2004
50-54 years,Female,6,2006
50-54 years,Female,8,2009
50-54 years,Female,3,2011
50-54 years,Female,7,2012
50-54 years,Female,6,2015
50-54 years,Female,9,2017
50-54 years,Female,8,2018
50-54 years,Male,4,1999
50-54 years,Male,9,2000
50-54 years,Male,5,2004
50-54 years,Male,4,2006
50-54 years,Male,3,2008
50-54 years,Male,2,2010
50-54 years,Male,2,2011
50-54 years,Male,5,2012
50-54 years,Male,4,2013
50-54 years,Male,4,2017
50-54 years,Male,9,2018
50-54 years,Male,6,2019
55-59 years,Female,6,1999
55-59 years,Female,5,2002
55-59 years,Female,7,2005
55-59 years,Female,9,2006
55-59 years,Female,7,2008
55-59 years,Female,2,2009
55-59 years,Female,2,2010
55-59 years,Female,3,2012
55-59 years,Female,4,2013
55-59 years,Female,8,2014
55-59 years,Female,6,2015
55-59 years,Female,6,2016
55-59 years,Female,8,2018
55-59 years,Female,3,2019
55-59 years,Female,1,2020
55-59 years,Male,3,2000
55-59 years,Male,9,2002
55-59 years,Male,4,2003
55-59 years,Male,8,2005
55-59 years,Male,4,2006
55-59 years,Male,3,2008
55-59 years,Male,9,2010
55-59 years,Male,2,2013
55-59 years,Male,4,2014
55-59 years,Male,5,2015
55-59 years,Male,8,2016
55-59 years,Male,5,2018
55-59 years,Male,8,2019
55-59 years,Male,3,2020
60-64 years ,Female,4,2001
60-64 years ,Female,5,2002
60-64 years ,Female,6,2004
60-64 years ,Female,8,2005
60-64 years ,Female,9,2006
60-64 years ,Female,5,2008
60-64 years ,Female,5,2010
60-64 years ,Female,1,2011
60-64 years ,Female,3,2013
60-64 years ,Female,1,2014
60-64 years ,Female,7,2016
60-64 years ,Female,8,2018
60-64 years ,Female,6,2019
60-64 years ,Female,9,2020
60-64 years ,Male,5,1999
60-64 years ,Male,2,2002
60-64 years ,Male,8,2003
60-64 years ,Male,9,2005
60-64 years ,Male,9,2006
60-64 years ,Male,1,2007
60-64 years ,Male,4,2009
60-64 years ,Male,3,2010
60-64 years ,Male,2,2011
60-64 years ,Male,8,2012
60-64 years ,Male,5,2014
60-64 years ,Male,6,2015
60-64 years ,Male,1,2016
60-64 years ,Male,5,2017
60-64 years ,Male,3,2018
60-64 years ,Male,2,2019
60-64 years ,Male,3,2020
65-69 years,Female,8,1999
65-69 years,Female,5,2000
65-69 years,Female,7,2007
65-69 years,Female,3,2008
65-69 years,Female,7,2010
65-69 years,Female,3,2012
65-69 years,Female,3,2014
65-69 years,Female,6,2015
65-69 years,Female,3,2016
65-69 years,Female,8,2017
65-69 years,Female,9,2018
65-69 years,Female,8,2019
65-69 years,Female,2,2020
65-69 years,Male,9,1999
65-69 years,Male,5,2000
65-69 years,Male,4,2002
65-69 years,Male,6,2004
65-69 years,Male,2,2006
65-69 years,Male,3,2007
65-69 years,Male,2,2009
65-69 years,Male,5,2011
65-69 years,Male,8,2015
65-69 years,Male,3,2016
65-69 years,Male,1,2017
65-69 years,Male,5,2018
65-69 years,Male,5,2019
65-69 years,Male,7,2020
70-74 years,Female,5,2001
70-74 years,Female,8,2002
70-74 years,Female,6,2004
70-74 years,Female,1,2005
70-74 years,Female,6,2007
70-74 years,Female,8,2008
70-74 years,Female,5,2009
70-74 years,Female,7,2012
70-74 years,Female,2,2015
70-74 years,Female,7,2016
70-74 years,Female,4,2017
70-74 years,Female,8,2018
70-74 years,Male,1,1999
70-74 years,Male,1,2000
70-74 years,Male,5,2002
70-74 years,Male,8,2004
70-74 years,Male,2,2005
70-74 years,Male,3,2006
70-74 years,Male,2,2007
70-74 years,Male,6,2008
70-74 years,Male,7,2009
70-74 years,Male,3,2011
70-74 years,Male,4,2012
70-74 years,Male,4,2014
70-74 years,Male,3,2016
70-74 years,Male,7,2017
70-74 years,Male,3,2019
70-74 years,Male,9,2020
75-79 years,Female,3,1999
75-79 years,Female,4,2000
75-79 years,Female,9,2001
75-79 years,Female,2,2003
75-79 years,Female,7,2004
75-79 years,Female,7,2005
75-79 years,Female,1,2006
75-79 years,Female,3,2007
75-79 years,Female,1,2008
75-79 years,Female,5,2009
75-79 years,Female,1,2010
75-79 years,Female,7,2011
75-79 years,Female,1,2012
75-79 years,Female,8,2013
75-79 years,Female,1,2015
75-79 years,Female,6,2016
75-79 years,Female,5,2017
75-79 years,Female,6,2018
75-79 years,Female,2,2019
75-79 years,Female,9,2020
75-79 years,Male,8,1999
75-79 years,Male,4,2000
75-79 years,Male,9,2002
75-79 years,Male,4,2004
75-79 years,Male,4,2005
75-79 years,Male,1,2006
75-79 years,Male,3,2007
75-79 years,Male,1,2008
75-79 years,Male,7,2009
75-79 years,Male,9,2010
75-79 years,Male,7,2012
75-79 years,Male,6,2013
75-79 years,Male,8,2014
75-79 years,Male,5,2015
75-79 years,Male,9,2016
75-79 years,Male,2,2018
75-79 years,Male,8,2019
75-79 years,Male,5,2020
80-84 years,Female,2,2000
80-84 years,Female,3,2002
80-84 years,Female,5,2003
80-84 years,Female,4,2004
80-84 years,Female,7,2005
80-84 years,Female,7,2006
80-84 years,Female,7,2007
80-84 years,Female,9,2008
80-84 years,Female,6,2009
80-84 years,Female,5,2010
80-84 years,Female,7,2011
80-84 years,Female,1,2012
80-84 years,Female,1,2013
80-84 years,Female,7,2014
80-84 years,Female,6,2015
80-84 years,Female,5,2016
80-84 years,Female,4,2017
80-84 years,Female,4,2018
80-84 years,Female,7,2019
80-84 years,Female,2,2020
80-84 years,Male,4,1999
80-84 years,Male,5,2000
80-84 years,Male,3,2002
80-84 years,Male,5,2003
80-84 years,Male,3,2005
80-84 years,Male,4,2006
80-84 years,Male,2,2007
80-84 years,Male,5,2008
80-84 years,Male,2,2011
80-84 years,Male,4,2012
80-84 years,Male,3,2013
80-84 years,Male,7,2014
80-84 years,Male,5,2015
80-84 years,Male,2,2016
80-84 years,Male,7,2017
80-84 years,Male,6,2019
80-84 years,Male,4,2020
15-19 years,Female,2,2021
20-24 years,Female,3,2021
30-34 years,Female,8,2021
45-49 years,Female,9,2021
60-64 years ,Female,7,2021
65-69 years,Female,1,2021
70-74 years,Female,5,2021
75-79 years,Female,8,2021
80-84 years,Female,4,2021
1-4 years,Female,6,2022
10-14 years,Female,8,2022
20-24 years,Female,5,2022
25-29 years,Female,3,2022
55-59 years,Female,1,2022
60-64 years ,Female,7,2022
65-69 years,Female,3,2022
70-74 years,Female,2,2022
75-79 years,Female,2,2022
80-84 years,Female,6,2022
10-14 years,Male,9,2021
45-49 years,Male,5,2021
50-54 years,Male,6,2021
60-64 years ,Male,1,2021
65-69 years,Male,8,2021
70-74 years,Male,1,2021
75-79 years,Male,1,2021
80-84 years,Male,6,2021
5-9 years,Male,9,2022
15-19 years,Male,1,2022
45-49 years,Male,4,2022
55-59 years,Male,9,2022
65-69 years,Male,9,2022
70-74 years,Male,5,2022
75-79 years,Male,8,2022
80-84 years,Male,6,2022
