Five-Year Age Groups,Gender,Deaths,Year
< 1 year,Female,307,1999
< 1 year,Female,306,2000
< 1 year,Female,296,2001
< 1 year,Female,309,2002
< 1 year,Female,260,2003
< 1 year,Female,268,2004
< 1 year,Female,234,2005
< 1 year,Female,242,2006
< 1 year,Female,270,2007
< 1 year,Female,265,2008
< 1 year,Female,254,2009
< 1 year,Female,221,2010
< 1 year,Female,232,2011
< 1 year,Female,220,2012
< 1 year,Female,199,2013
< 1 year,Female,197,2014
< 1 year,Female,202,2015
< 1 year,Female,216,2016
< 1 year,Female,200,2017
< 1 year,Female,204,2018
< 1 year,Female,179,2019
< 1 year,Female,194,2020
< 1 year,Male,360,1999
< 1 year,Male,357,2000
< 1 year,Male,326,2001
< 1 year,Male,358,2002
< 1 year,Male,331,2003
< 1 year,Male,325,2004
< 1 year,Male,295,2005
< 1 year,Male,301,2006
< 1 year,Male,354,2007
< 1 year,Male,329,2008
< 1 year,Male,327,2009
< 1 year,Male,286,2010
< 1 year,Male,268,2011
< 1 year,Male,272,2012
< 1 year,Male,259,2013
< 1 year,Male,247,2014
< 1 year,Male,226,2015
< 1 year,Male,244,2016
< 1 year,Male,249,2017
< 1 year,Male,224,2018
< 1 year,Male,227,2019
< 1 year,Male,192,2020
1-4 years,Female,107,1999
1-4 years,Female,108,2000
1-4 years,Female,136,2001
1-4 years,Female,104,2002
1-4 years,Female,119,2003
1-4 years,Female,116,2004
1-4 years,Female,94,2005
1-4 years,Female,105,2006
1-4 years,Female,128,2007
1-4 years,Female,129,2008
1-4 years,Female,103,2009
1-4 years,Female,97,2010
1-4 years,Female,97,2011
1-4 years,Female,98,2012
1-4 years,Female,92,2013
1-4 years,Female,87,2014
1-4 years,Female,89,2015
1-4 years,Female,89,2016
1-4 years,Female,86,2017
1-4 years,Female,82,2018
1-4 years,Female,87,2019
1-4 years,Female,82,2020
1-4 years,Male,128,1999
1-4 years,Male,130,2000
1-4 years,Male,154,2001
1-4 years,Male,123,2002
1-4 years,Male,119,2003
1-4 years,Male,120,2004
1-4 years,Male,129,2005
1-4 years,Male,116,2006
1-4 years,Male,105,2007
1-4 years,Male,129,2008
1-4 years,Male,107,2009
1-4 years,Male,119,2010
1-4 years,Male,116,2011
1-4 years,Male,119,2012
1-4 years,Male,123,2013
1-4 years,Male,100,2014
1-4 years,Male,109,2015
1-4 years,Male,93,2016
1-4 years,Male,111,2017
1-4 years,Male,80,2018
1-4 years,Male,105,2019
1-4 years,Male,93,2020
5-9 years,Female,60,1999
5-9 years,Female,60,2000
5-9 years,Female,74,2001
5-9 years,Female,71,2002
5-9 years,Female,59,2003
5-9 years,Female,67,2004
5-9 years,Female,87,2005
5-9 years,Female,61,2006
5-9 years,Female,69,2007
5-9 years,Female,63,2008
5-9 years,Female,76,2009
5-9 years,Female,55,2010
5-9 years,Female,79,2011
5-9 years,Female,58,2012
5-9 years,Female,60,2013
5-9 years,Female,55,2014
5-9 years,Female,67,2015
5-9 years,Female,56,2016
5-9 years,Female,58,2017
5-9 years,Female,49,2018
5-9 years,Female,66,2019
5-9 years,Female,45,2020
5-9 years,Male,85,1999
5-9 years,Male,81,2000
5-9 years,Male,65,2001
5-9 years,Male,57,2002
5-9 years,Male,76,2003
5-9 years,Male,54,2004
5-9 years,Male,82,2005
5-9 years,Male,81,2006
5-9 years,Male,86,2007
5-9 years,Male,80,2008
5-9 years,Male,60,2009
5-9 years,Male,63,2010
5-9 years,Male,60,2011
5-9 years,Male,48,2012
5-9 years,Male,60,2013
5-9 years,Male,61,2014
5-9 years,Male,63,2015
5-9 years,Male,63,2016
5-9 years,Male,63,2017
5-9 years,Male,56,2018
5-9 years,Male,64,2019
5-9 years,Male,50,2020
10-14 years,Female,96,1999
10-14 years,Female,102,2000
10-14 years,Female,107,2001
10-14 years,Female,95,2002
10-14 years,Female,86,2003
10-14 years,Female,101,2004
10-14 years,Female,82,2005
10-14 years,Female,97,2006
10-14 years,Female,90,2007
10-14 years,Female,90,2008
10-14 years,Female,67,2009
10-14 years,Female,72,2010
10-14 years,Female,78,2011
10-14 years,Female,73,2012
10-14 years,Female,69,2013
10-14 years,Female,77,2014
10-14 years,Female,78,2015
10-14 years,Female,72,2016
10-14 years,Female,78,2017
10-14 years,Female,69,2018
10-14 years,Female,73,2019
10-14 years,Female,78,2020
10-14 years,Male,115,1999
10-14 years,Male,131,2000
10-14 years,Male,119,2001
10-14 years,Male,137,2002
10-14 years,Male,130,2003
10-14 years,Male,119,2004
10-14 years,Male,121,2005
10-14 years,Male,129,2006
10-14 years,Male,99,2007
10-14 years,Male,107,2008
10-14 years,Male,106,2009
10-14 years,Male,94,2010
10-14 years,Male,90,2011
10-14 years,Male,96,2012
10-14 years,Male,87,2013
10-14 years,Male,100,2014
10-14 years,Male,95,2015
10-14 years,Male,102,2016
10-14 years,Male,95,2017
10-14 years,Male,92,2018
10-14 years,Male,73,2019
10-14 years,Male,87,2020
15-19 years,Female,208,1999
15-19 years,Female,202,2000
15-19 years,Female,170,2001
15-19 years,Female,168,2002
15-19 years,Female,205,2003
15-19 years,Female,160,2004
15-19 years,Female,177,2005
15-19 years,Female,182,2006
15-19 years,Female,167,2007
15-19 years,Female,173,2008
15-19 years,Female,144,2009
