Five-Year Age Groups,Gender,Deaths,Year
< 1 year,Female,179,1999
< 1 year,Female,211,2000
< 1 year,Female,202,2001
< 1 year,Female,197,2002
< 1 year,Female,212,2003
< 1 year,Female,255,2004
< 1 year,Female,238,2005
< 1 year,Female,249,2006
< 1 year,Female,269,2007
< 1 year,Female,271,2008
< 1 year,Female,80,2009
< 1 year,Female,84,2010
< 1 year,Female,73,2011
< 1 year,Female,65,2012
< 1 year,Female,66,2013
< 1 year,Female,72,2014
< 1 year,Female,80,2015
< 1 year,Female,73,2016
< 1 year,Female,81,2017
< 1 year,Female,69,2018
< 1 year,Female,74,2019
< 1 year,Female,69,2020
< 1 year,Male,321,1999
< 1 year,Male,288,2000
< 1 year,Male,276,2001
< 1 year,Male,312,2002
< 1 year,Male,339,2003
< 1 year,Male,325,2004
< 1 year,Male,388,2005
< 1 year,Male,333,2006
< 1 year,Male,408,2007
< 1 year,Male,308,2008
< 1 year,Male,140,2009
< 1 year,Male,120,2010
< 1 year,Male,119,2011
< 1 year,Male,113,2012
< 1 year,Male,108,2013
< 1 year,Male,104,2014
< 1 year,Male,107,2015
< 1 year,Male,109,2016
< 1 year,Male,88,2017
< 1 year,Male,100,2018
< 1 year,Male,95,2019
< 1 year,Male,97,2020
1-4 years,Female,59,1999
1-4 years,Female,37,2000
1-4 years,Female,46,2001
1-4 years,Female,55,2002
1-4 years,Female,57,2003
1-4 years,Female,47,2004
1-4 years,Female,51,2005
1-4 years,Female,52,2006
1-4 years,Female,67,2007
1-4 years,Female,54,2008
1-4 years,Female,32,2009
1-4 years,Female,35,2010
1-4 years,Female,33,2011
1-4 years,Female,26,2012
1-4 years,Female,21,2013
1-4 years,Female,24,2014
1-4 years,Female,26,2015
1-4 years,Female,33,2016
1-4 years,Female,20,2017
1-4 years,Female,25,2018
1-4 years,Female,25,2019
1-4 years,Female,25,2020
1-4 years,Male,56,1999
1-4 years,Male,70,2000
1-4 years,Male,72,2001
1-4 years,Male,74,2002
1-4 years,Male,73,2003
1-4 years,Male,74,2004
1-4 years,Male,80,2005
1-4 years,Male,57,2006
1-4 years,Male,71,2007
1-4 years,Male,77,2008
1-4 years,Male,43,2009
1-4 years,Male,36,2010
1-4 years,Male,37,2011
1-4 years,Male,40,2012
1-4 years,Male,46,2013
1-4 years,Male,38,2014
1-4 years,Male,42,2015
1-4 years,Male,37,2016
1-4 years,Male,37,2017
1-4 years,Male,28,2018
1-4 years,Male,20,2019
1-4 years,Male,26,2020
5-9 years,Female,30,1999
5-9 years,Female,26,2000
5-9 years,Female,25,2001
5-9 years,Female,15,2002
5-9 years,Female,24,2003
5-9 years,Female,19,2004
5-9 years,Female,24,2005
5-9 years,Female,24,2006
5-9 years,Female,17,2007
5-9 years,Female,29,2008
5-9 years,Female,22,2009
5-9 years,Female,18,2010
5-9 years,Female,22,2011
5-9 years,Female,19,2012
5-9 years,Female,24,2013
5-9 years,Female,18,2014
5-9 years,Female,15,2015
5-9 years,Female,15,2016
5-9 years,Female,23,2017
5-9 years,Female,10,2018
5-9 years,Female,20,2019
5-9 years,Female,13,2020
5-9 years,Male,25,1999
5-9 years,Male,32,2000
5-9 years,Male,31,2001
5-9 years,Male,33,2002
5-9 years,Male,34,2003
5-9 years,Male,26,2004
5-9 years,Male,31,2005
5-9 years,Male,22,2006
5-9 years,Male,31,2007
5-9 years,Male,32,2008
5-9 years,Male,21,2009
5-9 years,Male,17,2010
5-9 years,Male,22,2011
5-9 years,Male,17,2012
5-9 years,Male,20,2013
5-9 years,Male,13,2014
5-9 years,Male,17,2015
5-9 years,Male,21,2016
5-9 years,Male,20,2017
5-9 years,Male,23,2018
5-9 years,Male,25,2019
5-9 years,Male,22,2020
10-14 years,Female,42,1999
10-14 years,Female,36,2000
10-14 years,Female,32,2001
10-14 years,Female,37,2002
10-14 years,Female,28,2003
10-14 years,Female,34,2004
10-14 years,Female,23,2005
10-14 years,Female,29,2006
10-14 years,Female,26,2007
10-14 years,Female,25,2008
10-14 years,Female,21,2009
10-14 years,Female,23,2010
10-14 years,Female,22,2011
10-14 years,Female,25,2012
10-14 years,Female,23,2013
10-14 years,Female,13,2014
10-14 years,Female,27,2015
10-14 years,Female,32,2016
10-14 years,Female,21,2017
10-14 years,Female,17,2018
10-14 years,Female,18,2019
10-14 years,Female,16,2020
10-14 years,Male,37,1999
10-14 years,Male,29,2000
10-14 years,Male,40,2001
10-14 years,Male,31,2002
10-14 years,Male,36,2003
10-14 years,Male,22,2004
10-14 years,Male,36,2005
10-14 years,Male,30,2006
10-14 years,Male,34,2007
10-14 years,Male,23,2008
10-14 years,Male,25,2009
10-14 years,Male,27,2010
10-14 years,Male,29,2011
10-14 years,Male,21,2012
10-14 years,Male,31,2013
10-14 years,Male,29,2014
10-14 years,Male,24,2015
10-14 years,Male,28,2016
10-14 years,Male,30,2017
10-14 years,Male,27,2018
10-14 years,Male,26,2019
10-14 years,Male,35,2020
15-19 years,Female,40,1999
15-19 years,Female,30,2000
15-19 years,Female,32,2001
15-19 years,Female,44,2002
15-19 years,Female,42,2003
15-19 years,Female,50,2004
15-19 years,Female,45,2005
15-19 years,Female,33,2006
15-19 years,Female,44,2007
15-19 years,Female,40,2008
15-19 years,Female,30,2009
15-19 years,Female,37,2010
15-19 years,Female,34,2011
15-19 years,Female,29,2012
15-19 years,Female,31,2013
15-19 years,Female,37,2014
15-19 years,Female,29,2015
15-19 years,Female,39,2016
15-19 years,Female,33,2017
15-19 years,Female,42,2018
15-19 years,Female,23,2019
15-19 years,Female,33,2020
15-19 years,Male,54,1999
15-19 years,Male,42,2000
15-19 years,Male,42,2001
15-19 years,Male,42,2002
15-19 years,Male,64,2003
15-19 years,Male,43,2004
15-19 years,Male,44,2005
15-19 years,Male,44,2006
15-19 years,Male,55,2007
15-19 years,Male,51,2008
15-19 years,Male,51,2009
15-19 years,Male,55,2010
15-19 years,Male,42,2011
15-19 years,Male,50,2012
15-19 years,Male,49,2013
15-19 years,Male,31,2014
15-19 years,Male,45,2015
15-19 years,Male,48,2016
15-19 years,Male,35,2017
15-19 years,Male,43,2018
15-19 years,Male,47,2019
15-19 years,Male,49,2020
20-24 years,Female,69,1999
20-24 years,Female,75,2000
20-24 years,Female,64,2001
20-24 years,Female,79,2002
20-24 years,Female,66,2003
20-24 years,Female,84,2004
20-24 years,Female,69,2005
20-24 years,Female,84,2006
20-24 years,Female,86,2007
20-24 years,Female,82,2008
20-24 years,Female,82,2009
20-24 years,Female,75,2010
20-24 years,Female,74,2011
20-24 years,Female,70,2012
20-24 years,Female,81,2013
20-24 years,Female,71,2014
20-24 years,Female,66,2015
20-24 years,Female,84,2016
20-24 years,Female,67,2017
20-24 years,Female,52,2018
20-24 years,Female,63,2019
20-24 years,Female,72,2020
20-24 years,Male,69,1999
20-24 years,Male,108,2000
20-24 years,Male,78,2001
20-24 years,Male,96,2002
20-24 years,Male,90,2003
20-24 years,Male,98,2004
20-24 years,Male,90,2005
20-24 years,Male,102,2006
20-24 years,Male,90,2007
20-24 years,Male,97,2008
20-24 years,Male,123,2009
20-24 years,Male,106,2010
20-24 years,Male,118,2011
20-24 years,Male,111,2012
20-24 years,Male,102,2013
20-24 years,Male,103,2014
20-24 years,Male,105,2015
20-24 years,Male,100,2016
20-24 years,Male,100,2017
20-24 years,Male,104,2018
20-24 years,Male,99,2019
20-24 years,Male,123,2020
25-29 years,Female,106,1999
25-29 years,Female,96,2000
25-29 years,Female,113,2001
25-29 years,Female,120,2002
25-29 years,Female,124,2003
25-29 years,Female,95,2004
25-29 years,Female,122,2005
25-29 years,Female,111,2006
25-29 years,Female,138,2007
25-29 years,Female,136,2008
25-29 years,Female,162,2009
25-29 years,Female,157,2010
25-29 years,Female,154,2011
25-29 years,Female,165,2012
25-29 years,Female,171,2013
25-29 years,Female,180,2014
25-29 years,Female,211,2015
25-29 years,Female,178,2016
25-29 years,Female,209,2017
25-29 years,Female,214,2018
25-29 years,Female,186,2019
25-29 years,Female,299,2020
25-29 years,Male,150,1999
25-29 years,Male,179,2000
25-29 years,Male,158,2001
25-29 years,Male,142,2002
25-29 years,Male,175,2003
25-29 years,Male,159,2004
25-29 years,Male,170,2005
25-29 years,Male,200,2006
25-29 years,Male,215,2007
25-29 years,Male,212,2008
25-29 years,Male,253,2009
25-29 years,Male,223,2010
25-29 years,Male,218,2011
25-29 years,Male,247,2012
25-29 years,Male,259,2013
25-29 years,Male,254,2014
25-29 years,Male,268,2015
25-29 years,Male,306,2016
25-29 years,Male,308,2017
25-29 years,Male,319,2018
25-29 years,Male,340,2019
25-29 years,Male,501,2020
30-34 years,Female,275,1999
30-34 years,Female,256,2000
30-34 years,Female,250,2001
30-34 years,Female,237,2002
30-34 years,Female,233,2003
30-34 years,Female,199,2004
30-34 years,Female,221,2005
30-34 years,Female,229,2006
30-34 years,Female,206,2007
30-34 years,Female,273,2008
30-34 years,Female,250,2009
30-34 years,Female,263,2010
30-34 years,Female,289,2011
30-34 years,Female,302,2012
30-34 years,Female,334,2013
30-34 years,Female,348,2014
30-34 years,Female,410,2015
30-34 years,Female,437,2016
30-34 years,Female,453,2017
30-34 years,Female,502,2018
30-34 years,Female,515,2019
30-34 years,Female,703,2020
30-34 years,Male,443,1999
30-34 years,Male,424,2000
30-34 years,Male,416,2001
30-34 years,Male,437,2002
30-34 years,Male,421,2003
30-34 years,Male,402,2004
30-34 years,Male,336,2005
30-34 years,Male,348,2006
30-34 years,Male,367,2007
30-34 years,Male,425,2008
30-34 years,Male,418,2009
30-34 years,Male,439,2010
30-34 years,Male,429,2011
30-34 years,Male,483,2012
30-34 years,Male,545,2013
30-34 years,Male,540,2014
30-34 years,Male,661,2015
30-34 years,Male,672,2016
30-34 years,Male,647,2017
30-34 years,Male,689,2018
30-34 years,Male,819,2019
30-34 years,Male,1135,2020
35-39 years,Female,679,1999
35-39 years,Female,658,2000
35-39 years,Female,671,2001
35-39 years,Female,610,2002
35-39 years,Female,599,2003
35-39 years,Female,527,2004
35-39 years,Female,486,2005
35-39 years,Female,500,2006
35-39 years,Female,511,2007
35-39 years,Female,507,2008
35-39 years,Female,505,2009
35-39 years,Female,518,2010
35-39 years,Female,496,2011
35-39 years,Female,470,2012
35-39 years,Female,559,2013
35-39 years,Female,577,2014
35-39 years,Female,655,2015
35-39 years,Female,732,2016
