Five-Year Age Groups,Gender,Deaths,Year
< 1 year,Female,4,2001
< 1 year,Female,4,2006
< 1 year,Female,9,2008
< 1 year,Female,9,2009
< 1 year,Female,3,2013
< 1 year,Female,6,2014
< 1 year,Female,4,2015
< 1 year,Female,8,2016
< 1 year,Female,7,2017
< 1 year,Female,4,2018
< 1 year,Male,1,1999
< 1 year,Male,2,2000
< 1 year,Male,8,2001
< 1 year,Male,6,2002
< 1 year,Male,1,2003
< 1 year,Male,3,2004
< 1 year,Male,5,2006
< 1 year,Male,9,2007
< 1 year,Male,9,2008
< 1 year,Male,3,2009
< 1 year,Male,4,2010
< 1 year,Male,6,2011
< 1 year,Male,4,2012
< 1 year,Male,7,2014
< 1 year,Male,9,2016
< 1 year,Male,5,2017
< 1 year,Male,4,2018
< 1 year,Male,7,2019
< 1 year,Male,7,2020
1-4 years,Female,5,1999
1-4 years,Female,2,2000
1-4 years,Female,9,2003
1-4 years,Female,5,2004
1-4 years,Female,1,2005
1-4 years,Female,3,2007
1-4 years,Female,5,2008
1-4 years,Female,6,2009
1-4 years,Female,1,2010
1-4 years,Female,9,2011
1-4 years,Female,9,2012
1-4 years,Female,4,2015
1-4 years,Female,8,2016
1-4 years,Female,2,2020
1-4 years,Male,2,1999
1-4 years,Male,3,2000
1-4 years,Male,3,2001
1-4 years,Male,5,2002
1-4 years,Male,6,2003
1-4 years,Male,1,2004
1-4 years,Male,9,2005
1-4 years,Male,6,2006
1-4 years,Male,4,2007
1-4 years,Male,7,2008
1-4 years,Male,5,2009
1-4 years,Male,3,2013
1-4 years,Male,4,2014
1-4 years,Male,1,2015
1-4 years,Male,3,2016
1-4 years,Male,2,2018
1-4 years,Male,9,2019
5-9 years,Female,4,1999
5-9 years,Female,1,2001
5-9 years,Female,6,2003
5-9 years,Female,9,2005
5-9 years,Female,1,2006
5-9 years,Female,9,2008
5-9 years,Female,9,2010
5-9 years,Female,3,2011
5-9 years,Female,5,2014
5-9 years,Female,5,2017
5-9 years,Female,3,2018
5-9 years,Female,1,2019
5-9 years,Male,3,1999
5-9 years,Male,1,2001
5-9 years,Male,1,2002
5-9 years,Male,7,2003
5-9 years,Male,7,2005
5-9 years,Male,1,2006
5-9 years,Male,5,2007
5-9 years,Male,9,2008
5-9 years,Male,3,2009
