Five-Year Age Groups,Gender,Deaths,Year
< 1 year,Female,3,1999
< 1 year,Female,7,2000
< 1 year,Female,6,2001
< 1 year,Female,6,2002
< 1 year,Female,2,2003
< 1 year,Female,7,2004
< 1 year,Female,7,2005
< 1 year,Female,9,2006
< 1 year,Female,8,2007
< 1 year,Female,7,2008
< 1 year,Female,4,2009
< 1 year,Female,8,2010
< 1 year,Female,2,2011
< 1 year,Female,4,2012
< 1 year,Female,2,2013
< 1 year,Female,4,2014
< 1 year,Female,2,2015
< 1 year,Female,7,2016
< 1 year,Female,4,2017
< 1 year,Female,4,2018
< 1 year,Female,9,2019
< 1 year,Female,5,2020
< 1 year,Male,7,1999
< 1 year,Male,3,2000
< 1 year,Male,7,2001
< 1 year,Male,11,2002
< 1 year,Male,9,2003
< 1 year,Male,10,2004
< 1 year,Male,4,2005
< 1 year,Male,13,2006
< 1 year,Male,9,2007
< 1 year,Male,3,2008
< 1 year,Male,2,2009
< 1 year,Male,7,2010
< 1 year,Male,7,2011
< 1 year,Male,5,2012
< 1 year,Male,3,2013
< 1 year,Male,7,2014
< 1 year,Male,4,2015
< 1 year,Male,1,2016
< 1 year,Male,7,2017
< 1 year,Male,3,2018
< 1 year,Male,8,2019
< 1 year,Male,1,2020
1-4 years,Female,7,1999
1-4 years,Female,2,2000
1-4 years,Female,3,2001
1-4 years,Female,3,2002
1-4 years,Female,5,2003
1-4 years,Female,1,2004
1-4 years,Female,6,2005
1-4 years,Female,2,2006
1-4 years,Female,5,2007
1-4 years,Female,3,2008
1-4 years,Female,8,2009
1-4 years,Female,8,2010
1-4 years,Female,5,2011
1-4 years,Female,9,2012
1-4 years,Female,2,2013
1-4 years,Female,3,2014
1-4 years,Female,6,2015
1-4 years,Female,1,2016
1-4 years,Female,5,2017
1-4 years,Female,5,2019
1-4 years,Female,1,2020
1-4 years,Male,6,1999
1-4 years,Male,8,2000
1-4 years,Male,4,2001
1-4 years,Male,9,2002
1-4 years,Male,7,2003
1-4 years,Male,9,2004
1-4 years,Male,7,2005
1-4 years,Male,9,2006
1-4 years,Male,7,2007
1-4 years,Male,1,2008
1-4 years,Male,8,2009
1-4 years,Male,2,2010
1-4 years,Male,8,2011
1-4 years,Male,9,2013
1-4 years,Male,7,2014
1-4 years,Male,6,2015
1-4 years,Male,5,2016
1-4 years,Male,6,2017
1-4 years,Male,3,2018
1-4 years,Male,9,2019
1-4 years,Male,1,2020
5-9 years,Female,7,1999
5-9 years,Female,9,2000
5-9 years,Female,3,2001
5-9 years,Female,11,2002
5-9 years,Female,9,2003
5-9 years,Female,2,2004
5-9 years,Female,3,2005
5-9 years,Female,1,2006
5-9 years,Female,8,2007
5-9 years,Female,7,2008
5-9 years,Female,10,2009
5-9 years,Female,1,2010
5-9 years,Female,2,2011
5-9 years,Female,6,2012
5-9 years,Female,8,2013
5-9 years,Female,1,2014
5-9 years,Female,4,2015
5-9 years,Female,7,2016
5-9 years,Female,1,2017
5-9 years,Female,5,2018
5-9 years,Female,6,2019
5-9 years,Female,8,2020
5-9 years,Male,4,1999
5-9 years,Male,8,2000
5-9 years,Male,4,2001
5-9 years,Male,5,2002
5-9 years,Male,8,2003
5-9 years,Male,6,2004
5-9 years,Male,8,2005
5-9 years,Male,4,2006
5-9 years,Male,5,2007
5-9 years,Male,9,2008
5-9 years,Male,2,2009
5-9 years,Male,3,2010
5-9 years,Male,9,2011
5-9 years,Male,4,2012
5-9 years,Male,7,2013
5-9 years,Male,2,2014
5-9 years,Male,4,2015
5-9 years,Male,4,2016
5-9 years,Male,3,2017
5-9 years,Male,4,2018
5-9 years,Male,3,2019
5-9 years,Male,6,2020
10-14 years,Female,21,1999
10-14 years,Female,19,2000
