Population,Five-Year Age Groups,Gender,Year
1852123,< 1 year,Female,1999
1856631,< 1 year,Female,2000
1962905,< 1 year,Female,2001
1932939,< 1 year,Female,2002
1942634,< 1 year,Female,2003
1962216,< 1 year,Female,2004
1956682,< 1 year,Female,2005
1975919,< 1 year,Female,2006
2027181,< 1 year,Female,2007
2022889,< 1 year,Female,2008
1959169,< 1 year,Female,2009
1929877,< 1 year,Female,2010
1952827,< 1 year,Female,2011
1926339,< 1 year,Female,2012
1925056,< 1 year,Female,2013
1930493,< 1 year,Female,2014
1942904,< 1 year,Female,2015
1939667,< 1 year,Female,2016
1924145,< 1 year,Female,2017
1879703,< 1 year,Female,2018
1847935,< 1 year,Female,2019
1826869,< 1 year,Female,2020
1943639,< 1 year,Male,1999
1949017,< 1 year,Male,2000
2049753,< 1 year,Male,2001
2018522,< 1 year,Male,2002
2033237,< 1 year,Male,2003
2052042,< 1 year,Male,2004
2047711,< 1 year,Male,2005
2065819,< 1 year,Male,2006
2120816,< 1 year,Male,2007
2109846,< 1 year,Male,2008
2044418,< 1 year,Male,2009
2014276,< 1 year,Male,2010
2043710,< 1 year,Male,2011
2016738,< 1 year,Male,2012
2016727,< 1 year,Male,2013
2017857,< 1 year,Male,2014
2035134,< 1 year,Male,2015
2030478,< 1 year,Male,2016
2015150,< 1 year,Male,2017
1968505,< 1 year,Male,2018
1935117,< 1 year,Male,2019
1908141,< 1 year,Male,2020
7493614,1-4 years,Female,1999
7508434,1-4 years,Female,2000
7468536,1-4 years,Female,2001
7564711,1-4 years,Female,2002
7636693,1-4 years,Female,2003
7713175,1-4 years,Female,2004
7785123,1-4 years,Female,2005
7775092,1-4 years,Female,2006
7813088,1-4 years,Female,2007
7891294,1-4 years,Female,2008
7943260,1-4 years,Female,2009
7952058,1-4 years,Female,2010
7909731,1-4 years,Female,2011
7856870,1-4 years,Female,2012
7790614,1-4 years,Female,2013
7790662,1-4 years,Female,2014
7786776,1-4 years,Female,2015
7800517,1-4 years,Female,2016
7818747,1-4 years,Female,2017
7719541,1-4 years,Female,2019
7613266,1-4 years,Female,2020
7846168,1-4 years,Male,1999
7861716,1-4 years,Male,2000
7817023,1-4 years,Male,2001
7913020,1-4 years,Male,2002
7979882,1-4 years,Male,2003
8058452,1-4 years,Male,2004
8127884,1-4 years,Male,2005
8122053,1-4 years,Male,2006
8164877,1-4 years,Male,2007
8247098,1-4 years,Male,2008
8297671,1-4 years,Male,2009
8305151,1-4 years,Male,2010
8255790,1-4 years,Male,2011
8135691,1-4 years,Male,2013
8137871,1-4 years,Male,2014
8142467,1-4 years,Male,2015
8156375,1-4 years,Male,2016
8180818,1-4 years,Male,2017
8163697,1-4 years,Male,2018
8074090,1-4 years,Male,2019
7953016,1-4 years,Male,2020
10052618,5-9 years,Female,1999
10026228,5-9 years,Female,2000
9844298,5-9 years,Female,2001
9699735,5-9 years,Female,2002
9581247,5-9 years,Female,2003
9503231,5-9 years,Female,2004
9473900,5-9 years,Female,2005
9555173,5-9 years,Female,2006
9640683,5-9 years,Female,2007
9748488,5-9 years,Female,2008
9874744,5-9 years,Female,2009
9959019,5-9 years,Female,2010
9950009,5-9 years,Female,2011
10016343,5-9 years,Female,2012
10061607,5-9 years,Female,2013
10041137,5-9 years,Female,2014
10028044,5-9 years,Female,2015
9999876,5-9 years,Female,2016
9936097,5-9 years,Female,2017
9879652,5-9 years,Female,2018
9873133,5-9 years,Female,2019
9890958,5-9 years,Female,2020
10553842,5-9 years,Male,1999
10523277,5-9 years,Male,2000
10329064,5-9 years,Male,2001
10172682,5-9 years,Male,2002
10039604,5-9 years,Male,2003
9951006,5-9 years,Male,2004
9915167,5-9 years,Male,2005
9989515,5-9 years,Male,2006
10073928,5-9 years,Male,2007
10181114,5-9 years,Male,2008
10307755,5-9 years,Male,2009
10389638,5-9 years,Male,2010
10384187,5-9 years,Male,2011
10459193,5-9 years,Male,2012
10508974,5-9 years,Male,2013
10478429,5-9 years,Male,2014
10459132,5-9 years,Male,2015
10429923,5-9 years,Male,2016
10368141,5-9 years,Male,2017
10315990,5-9 years,Male,2018
10322762,5-9 years,Male,2019
10346753,5-9 years,Male,2020
9855664,10-14 years,Female,1999
10007875,10-14 years,Female,2000
10231469,10-14 years,Female,2001
10371422,10-14 years,Female,2002
10444875,10-14 years,Female,2003
10443706,10-14 years,Female,2004
10348382,10-14 years,Female,2005
10261944,10-14 years,Female,2006
10170082,10-14 years,Female,2007
10108474,10-14 years,Female,2008
10088732,10-14 years,Female,2009
10097332,10-14 years,Female,2010
10117822,10-14 years,Female,2011
10102004,10-14 years,Female,2012
10097931,10-14 years,Female,2013
10120287,10-14 years,Female,2014
10101942,10-14 years,Female,2015
10099501,10-14 years,Female,2016
10173382,10-14 years,Female,2017
10220687,10-14 years,Female,2018
10180007,10-14 years,Female,2019
10159455,10-14 years,Female,2020
10357700,10-14 years,Male,1999
10520197,10-14 years,Male,2000
10747209,10-14 years,Male,2001
10889999,10-14 years,Male,2002
10970478,10-14 years,Male,2003
10967974,10-14 years,Male,2004
10864197,10-14 years,Male,2005
10771194,10-14 years,Male,2006
