Five-Year Age Groups,Gender,Deaths,Year
< 1 year,Female,95,1999
< 1 year,Female,73,2000
< 1 year,Female,70,2001
< 1 year,Female,71,2002
< 1 year,Female,84,2003
< 1 year,Female,79,2004
< 1 year,Female,79,2005
< 1 year,Female,64,2006
< 1 year,Female,84,2007
< 1 year,Female,88,2008
< 1 year,Female,51,2009
< 1 year,Female,54,2010
< 1 year,Female,45,2011
< 1 year,Female,42,2012
< 1 year,Female,38,2013
< 1 year,Female,44,2014
< 1 year,Female,49,2015
< 1 year,Female,42,2016
< 1 year,Female,46,2017
< 1 year,Female,38,2018
< 1 year,Female,36,2019
< 1 year,Female,23,2020
< 1 year,Male,97,1999
< 1 year,Male,118,2000
< 1 year,Male,87,2001
< 1 year,Male,116,2002
< 1 year,Male,122,2003
< 1 year,Male,121,2004
< 1 year,Male,101,2005
< 1 year,Male,116,2006
< 1 year,Male,85,2007
< 1 year,Male,81,2008
< 1 year,Male,76,2009
< 1 year,Male,72,2010
< 1 year,Male,47,2011
< 1 year,Male,58,2012
< 1 year,Male,62,2013
< 1 year,Male,58,2014
< 1 year,Male,52,2015
< 1 year,Male,39,2016
< 1 year,Male,55,2017
< 1 year,Male,57,2018
< 1 year,Male,43,2019
< 1 year,Male,39,2020
1-4 years,Female,10,1999
1-4 years,Female,13,2000
1-4 years,Female,15,2001
1-4 years,Female,3,2002
1-4 years,Female,11,2003
1-4 years,Female,10,2004
1-4 years,Female,4,2005
1-4 years,Female,3,2006
1-4 years,Female,16,2007
1-4 years,Female,2,2008
1-4 years,Female,14,2009
1-4 years,Female,10,2010
1-4 years,Female,10,2011
1-4 years,Female,7,2012
1-4 years,Female,4,2013
1-4 years,Female,11,2014
1-4 years,Female,6,2015
1-4 years,Female,12,2016
1-4 years,Female,1,2017
1-4 years,Female,6,2018
1-4 years,Female,4,2019
1-4 years,Female,5,2020
1-4 years,Male,14,1999
1-4 years,Male,1,2000
1-4 years,Male,10,2001
1-4 years,Male,10,2002
1-4 years,Male,10,2003
1-4 years,Male,16,2004
1-4 years,Male,14,2005
1-4 years,Male,3,2006
1-4 years,Male,16,2007
1-4 years,Male,13,2008
1-4 years,Male,3,2009
1-4 years,Male,8,2010
1-4 years,Male,2,2011
1-4 years,Male,10,2012
1-4 years,Male,2,2013
1-4 years,Male,2,2014
1-4 years,Male,13,2015
1-4 years,Male,8,2016
1-4 years,Male,3,2017
1-4 years,Male,2,2018
1-4 years,Male,7,2019
1-4 years,Male,8,2020
5-9 years,Female,3,1999
5-9 years,Female,7,2000
5-9 years,Female,9,2001
5-9 years,Female,5,2002
5-9 years,Female,4,2003
5-9 years,Female,1,2004
5-9 years,Female,5,2005
5-9 years,Female,1,2006
5-9 years,Female,5,2007
5-9 years,Female,9,2008
5-9 years,Female,2,2009
5-9 years,Female,8,2010
5-9 years,Female,3,2011
5-9 years,Female,4,2012
5-9 years,Female,2,2013
5-9 years,Female,8,2014
5-9 years,Female,1,2015
5-9 years,Female,1,2016
5-9 years,Female,7,2017
5-9 years,Female,4,2018
5-9 years,Female,2,2019
5-9 years,Female,5,2020
5-9 years,Male,12,1999
5-9 years,Male,9,2000
5-9 years,Male,6,2001
5-9 years,Male,4,2002
5-9 years,Male,5,2003
5-9 years,Male,3,2004
5-9 years,Male,5,2005
5-9 years,Male,4,2006
5-9 years,Male,1,2007
5-9 years,Male,3,2008
5-9 years,Male,6,2009
5-9 years,Male,9,2010
5-9 years,Male,3,2011
5-9 years,Male,8,2012
5-9 years,Male,8,2013
5-9 years,Male,8,2014
5-9 years,Male,4,2015
5-9 years,Male,3,2016
5-9 years,Male,9,2017
5-9 years,Male,2,2018
5-9 years,Male,6,2019
5-9 years,Male,6,2020
10-14 years,Female,13,1999
10-14 years,Female,8,2000
10-14 years,Female,1,2001
10-14 years,Female,5,2002
10-14 years,Female,12,2003
10-14 years,Female,8,2004
10-14 years,Female,14,2005
10-14 years,Female,1,2006
10-14 years,Female,3,2007
10-14 years,Female,8,2008
10-14 years,Female,9,2009
10-14 years,Female,12,2010
10-14 years,Female,8,2011
10-14 years,Female,4,2012
10-14 years,Female,9,2013
10-14 years,Female,9,2014
10-14 years,Female,1,2015
10-14 years,Female,7,2016
