Year,Excess YPLL Rate,Excess YPLL Number,shortname
2000,202.9135006643043,273684.75425697735,Infections
2001,193.11424881192497,263756.74454850657,Infections
2002,195.63554037300315,269821.85782234353,Infections
2003,181.36516617063472,252201.79158801225,Infections
2004,169.86087835257507,238479.01853837504,Infections
2005,169.2291537702514,239807.05741860895,Infections
2006,157.0846636171906,224730.12027807304,Infections
2007,145.62924120842382,210216.97763087432,Infections
2008,129.6451197142427,188915.3563613014,Infections
2009,126.96619908658464,186675.46832814455,Infections
2010,120.29738346196756,178012.90542880842,Infections
2011,111.5085407775066,166541.4445746037,Infections
2012,112.28770878809098,169005.68574566164,Infections
2013,112.47037205857964,170497.31571220866,Infections
2014,100.23354125151036,153166.6348282694,Infections
2015,107.83490009230631,166087.1675450551,Infections
2016,95.81013304032297,148336.69905402014,Infections
2017,84.33336413057538,131655.59774525755,Infections
2018,82.70958682791792,129717.15123880944,Infections
2019,81.05659778282904,127539.08657833045,Infections
2020,84.8989038109624,134083.69818373327,Infections
2021,71.07652826443547,113997.72248476908,Infections
2022,72.51039079412459,116826.46409611873,Infections
2000,964.290448538006,1300611.3125862642,Neoplasms
2001,918.8131291802528,1254921.173823011,Neoplasms
2002,898.4014964995758,1239081.4081823165,Neoplasms
2003,869.7951626800113,1209515.05172774,Neoplasms
2004,858.6068625175558,1205455.4519521953,Neoplasms
2005,850.3570844917967,1205002.9539466526,Neoplasms
2006,808.0118903762668,1155966.5032156573,Neoplasms
2007,811.1211150084364,1170859.8347060203,Neoplasms
2008,827.660872693803,1206045.0023563686,Neoplasms
2009,790.0569074569894,1161602.4128188803,Neoplasms
2010,803.6954141298629,1189287.3446769335,Neoplasms
2011,784.360506159343,1171466.6056269887,Neoplasms
2012,762.0699755064347,1147001.3965616175,Neoplasms
2013,723.9735160679152,1097493.8455082048,Neoplasms
2014,701.9123796221825,1072590.6297300698,Neoplasms
2015,695.5656199043515,1071309.228763095,Neoplasms
2016,641.9369155985519,993869.855297378,Neoplasms
2017,605.5335139573403,945318.3512447646,Neoplasms
2018,584.5820291571381,916826.1914478664,Neoplasms
2019,560.2334020169278,881503.2744816956,Neoplasms
2020,529.5917459694397,836402.0810595403,Neoplasms
2021,366.10738267125726,587189.7351838759,Neoplasms
2022,382.72542970366703,616635.1909328015,Neoplasms
2000,-8.616884103826578,-11622.241993243064,Blood-related
2001,-7.839953325718397,-10707.861171951135,Blood-related
2002,-7.047800729707589,-9720.374339067634,Blood-related
2003,-4.2774059233685335,-5948.05198815177,Blood-related
2004,-3.359446863408735,-4716.551560239782,Blood-related
2005,-4.517730556410058,-6401.873712691683,Blood-related
2006,-6.591038891558497,-9429.341660412114,Blood-related
2007,-4.0223082460171895,-5806.234212037946,Blood-related
2008,-4.2497392358474,-6192.604889040933,Blood-related
2009,-3.6484849177495704,-5364.283058080745,Blood-related
2010,-3.0832209647209083,-4562.469325714838,Blood-related
2011,-1.966710155686016,-2937.3422708582666,Blood-related
2012,-3.998347270564153,-6017.964295506734,Blood-related
2013,-1.18455955248308,-1795.7104640360592,Blood-related
2014,-3.0820512684255164,-4709.6751771785,Blood-related
2015,-1.2240345215309958,-1885.256317615436,Blood-related
2016,-4.491479563356037,-6953.87044308169,Blood-related
2017,-2.901825739668766,-4530.1359224463195,Blood-related
2018,-1.58270665773901,-2482.2297724174227,Blood-related
2019,0.5923102783571466,931.9748661919537,Blood-related
2020,1.8321355250966604,2893.553341109641,Blood-related
2021,-5.49647317994976,-8815.644763651368,Blood-related
2022,-2.745609997675686,-4423.640588645039,Blood-related
2000,37.85822963854207,51062.25185267481,Endocrine and Metabolic
2001,42.76870568922504,58413.78691910698,Endocrine and Metabolic
2002,56.82438604984554,78372.57680455282,Endocrine and Metabolic
2003,87.7545627063306,122029.265055985,Endocrine and Metabolic
2004,94.98310229846368,133353.1136395675,Endocrine and Metabolic
2005,106.48115444394055,150889.67680122372,Endocrine and Metabolic
2006,115.8441723442595,165730.2131536045,Endocrine and Metabolic
2007,130.40199733750774,188236.32898071109,Endocrine and Metabolic
2008,126.05334938268584,183681.52593521503,Endocrine and Metabolic
2009,140.29225090126022,206268.45434620455,Endocrine and Metabolic
2010,148.8220975416458,220223.0274091831,Endocrine and Metabolic
2011,156.64955259801013,233960.93787733023,Endocrine and Metabolic
2012,169.41254022809903,254985.0098838332,Endocrine and Metabolic
2013,175.18145119780286,265562.98023303493,Endocrine and Metabolic
2014,189.01522692514595,288833.71651792317,Endocrine and Metabolic
2015,200.29453399610804,308493.37086318474,Endocrine and Metabolic
2016,205.14249778997123,317609.00431120384,Endocrine and Metabolic
2017,225.2635247119664,351666.3221241663,Endocrine and Metabolic
2018,238.92804548413596,374721.5600984886,Endocrine and Metabolic
2019,258.73961585132827,407115.7088991104,Endocrine and Metabolic
2020,288.39897553448986,455478.2153391159,Endocrine and Metabolic
2021,253.573069667073,406698.99235894537,Endocrine and Metabolic
2022,264.5123705284876,426174.023061941,Endocrine and Metabolic
2000,75.38648794699657,101679.44646622452,Mental Health
2001,70.47338228218797,96253.02121634276,Mental Health
2002,71.61388982899626,98770.360245908,Mental Health
2003,70.63835879376569,98227.90681791364,Mental Health
2004,72.85699742575432,102288.79897631476,Mental Health
2005,69.54888596643411,98554.61259940908,Mental Health
2006,68.23582455821156,97620.25589977598,Mental Health
2007,37.13293881540932,53601.69498621266,Mental Health
2008,25.48366126206912,37134.10083870353,Mental Health
2009,16.460573651189293,24201.60103548654,Mental Health
2010,22.575331578360306,33406.382164190385,Mental Health
2011,12.22479341597102,18258.10597938167,Mental Health
